name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Lexusgs430,https://www.nairaland.com/lexusgs430,In my Lounge,"November 15, 2010",9:30pm,WhatsApp - 08180134422 ,,,1 year & 5 months,58312,191
Mokelu,https://www.nairaland.com/mokelu,,"May 08, 2020",2:54pm On Mar 11,,,,5 days & 3 hours,224,0
universelawa,https://www.nairaland.com/universelawa,,"January 17, 2019","4:53pm On Aug 03, 2021",,,,3 days & 9 hours,79,4
Eveezy,https://www.nairaland.com/eveezy,"Lagos, Nigeria","July 17, 2014",9:21pm,Life is not really as complicated as we make it to be,m,,2 months & 10 days,2115,17
TIDDOLL,https://www.nairaland.com/tiddoll,**THE WIND**,"November 30, 2012",9:03pm,A DRINK FOR YOUR THIRST,m,,4 months & 18 days,1454,90
amizzy48,https://www.nairaland.com/amizzy48,"isasi axis, lagos state","November 03, 2013",3:23pm,,m,,20 days & 19 hours,410,47
Bixep,https://www.nairaland.com/bixep,,"August 29, 2020","11:07am On Dec 25, 2020",Dog breeder ,m,,1 day & 5 hours,14,0
ayotolapo,https://www.nairaland.com/ayotolapo,,"May 20, 2019","5:33pm On May 11, 2021",,,,10 hours & 44 minutes,12,5
sholay2011,https://www.nairaland.com/sholay2011,"Manitoba, Canada ","October 12, 2011",6:39pm,Have you truly accepted Jesus Christ as your personal Lord and Saviour?,m,,9 months & 11 days,7574,62
Nienie,https://www.nairaland.com/nienie,,"July 26, 2015",10:20pm On Mar 25,I.G: Chi.or.mah        ,f,,15 days & 11 hours,499,8
ebonyoyas,https://www.nairaland.com/ebonyoyas,,"September 17, 2015",9:04pm,Born to win,m,,24 days & 23 hours,610,22
Mandela27,https://www.nairaland.com/mandela27,Naija Delta,"May 16, 2020",7:05pm On Jul 04,Our heart follow our treasures,,,1 month & 11 days,1892,13
okorookwus,https://www.nairaland.com/okorookwus,"Umuahia Abia State, Nigeria.","August 13, 2017",8:52pm On Jun 19,My God is Indispensible.,m,,4 days & 14 hours,40,0
justie87h,https://www.nairaland.com/justie87h,,"November 22, 2021",4:45pm,,,,8 hours & 17 minutes,1,0
RYEOFARMS,https://www.nairaland.com/ryeofarms,Abeokuta,"October 12, 2020",1:15am On Jul 28,Honesty is my Legacy  #Ryeo,m,,16 days & 23 hours,1233,88
Godfirst01,https://www.nairaland.com/godfirst01,,"May 21, 2016",3:19pm,,m,,5 days,64,2
Walekennel,https://www.nairaland.com/walekennel,Portharcourt,"September 24, 2020",5:46pm,Furture Belongs To The Risk Taker,,,7 days & 2 hours,305,19
rastaLivity,https://www.nairaland.com/rastalivity,Weedezvous,"September 24, 2017",7:48pm On Jul 27,And what shall we not become....!,,,2 months & 10 days,1759,2
Bezalel100,https://www.nairaland.com/bezalel100,Benin city Edo state,"June 08, 2021",9:36am On Jun 19,No good thing  comes easy,m,,1 day & 19 hours,99,30
chukwudumaga581,https://www.nairaland.com/chukwudumaga581,,"December 16, 2021",1:56pm,,,,5 hours & 54 minutes,1,0
Davidolu2,https://www.nairaland.com/davidolu2,Ibadan,"May 17, 2021",10:55pm,Those who which you to fail are still around you with smile. BE WISE,,,6 days & 13 hours,70,13
Euphoria081,https://www.nairaland.com/euphoria081,,"April 17, 2020",5:44pm On Jul 28,,,,2 days & 2 hours,33,5
Johnbosco1981,https://www.nairaland.com/johnbosco1981,,"January 06, 2022",1:53pm On May 13,,,,23 hours & 36 minutes,87,2
PKURLINZ,https://www.nairaland.com/pkurlinz,Everywhere,"June 13, 2020",9:11am On Jul 16,"""Never allow your current situation predict your future""",,,11 days & 22 hours,38,0
tym92,https://www.nairaland.com/tym92,kogi state,"October 16, 2013",7:07pm,I'm kul nd gen2 lyk Lion,m,,1 month & 27 days,598,29
jacksonlows,https://www.nairaland.com/jacksonlows,"Maryland, Lagos, Nigeria.","August 21, 2014",6:15pm,,,,1 month & 7 days,896,175
mecuries,https://www.nairaland.com/mecuries,,"August 31, 2018",9:51pm,,m,,3 hours & 26 minutes,178,0
Taystee,https://www.nairaland.com/taystee,,"September 19, 2016",11:09am,,,,15 days & 12 hours,427,28
TheStakeHolder,https://www.nairaland.com/thestakeholder,"Banana Island, Ikoyi","January 09, 2021",9:08pm,"“I learned to give not because I have much, but because I know exactly how it feels to have nothing.” ",m,,1 month & 20 days,967,8
toluwaseposh,https://www.nairaland.com/toluwaseposh,Ibadan ,"August 04, 2018",8:23am On Mar 03,,,,15 minutes & 39 seconds,3,1
gloryokuk,https://www.nairaland.com/gloryokuk,,"January 09, 2019","12:41am On Feb 14, 2019",i no i can make it,m,,54 minutes & 12 seconds,3,0
dabtee,https://www.nairaland.com/dabtee,,"August 10, 2018","10:17am On Jan 08, 2020",,,,1 day & 11 hours,185,14
ayorins,https://www.nairaland.com/ayorins,nigeria,"May 19, 2011",2:14pm,It is what it is,m,,11 days & 6 hours,370,7
blingxx,https://www.nairaland.com/blingxx,the moon,"May 16, 2016",10:07pm,i belong in my room the street is not for me,m,,2 months & 14 days,3843,4
Richiekhay7,https://www.nairaland.com/richiekhay7,,"January 13, 2019","11:10pm On Jan 25, 2019",,,,45 minutes & 9 seconds,3,1
BEenterprise,https://www.nairaland.com/beenterprise,,"January 15, 2019","7:03am On Jan 24, 2019",,,,6 minutes & 49 seconds,2,0
gabe1234,https://www.nairaland.com/gabe1234,,"February 13, 2017",9:29pm,jz an easy going dude,m,,20 days & 20 hours,271,6
e316,https://www.nairaland.com/e316,,"June 07, 2008",10:10pm On Jul 02,Delkozi West Africa (Facility Managers & Building Contractors,m,,22 days & 8 hours,649,39
Websterjoe84,https://www.nairaland.com/websterjoe84,,"January 28, 2019","2:51am On Jan 30, 2019",,,,4 minutes & 46 seconds,1,0
Whitewhite1,https://www.nairaland.com/whitewhite1,,"January 30, 2019","9:38am On Jan 30, 2019",,,,11 minutes & 20 seconds,1,0
Johnnie2019,https://www.nairaland.com/johnnie2019,Ibadan ,"January 31, 2019",9:38am On Jul 19,Awesome ,m,,1 day & 16 hours,89,33
jayvybe,https://www.nairaland.com/jayvybe,,"August 29, 2018","4:18pm On Aug 17, 2019","Life is easy,when you know what you are doing.",m,,1 day & 17 hours,5,0
Donbosco46,https://www.nairaland.com/donbosco46,,"February 13, 2017","8:38pm On May 04, 2020",,,,1 month & 2 days,392,24
nikky2012,https://www.nairaland.com/nikky2012,,"September 07, 2012",2:53pm On Jul 17,"Do u need a very good and qualified caterer,event decorator and good cake maker to manage ur event with just affordable price with a uniqe quality .",f,,1 month & 18 days,135,22
princechiemekam,https://www.nairaland.com/princechiemekam,No Location,"September 24, 2014",7:01am On Jul 13,,m,,2 months & 21 days,423,0
ayoyemi69,https://www.nairaland.com/ayoyemi69,,"September 23, 2014",9:46am On May 23,,,,7 days & 9 hours,19,6
Propack,https://www.nairaland.com/propack,,"February 18, 2019","1:41pm On Jan 23, 2020",,,,5 hours & 30 minutes,9,4
Chizkhalifa98,https://www.nairaland.com/chizkhalifa98,,"January 20, 2019","12:17am On May 02, 2019",,,,4 hours & 49 minutes,11,0
oludrayt,https://www.nairaland.com/oludrayt,Ondo,"September 19, 2016","4:45pm On Jun 26, 2019",,m,,7 hours & 15 minutes,2,0
Marvelbars,https://www.nairaland.com/marvelbars,,"August 17, 2018","6:27pm On Apr 06, 2019",,,,6 days & 7 hours,47,2
ojialo,https://www.nairaland.com/ojialo,Abuja,"August 12, 2009",5:35pm,,m,ojialo1,2 months & 20 days,1816,50
Newdawnk9s,https://www.nairaland.com/newdawnk9s,Lafia,"February 21, 2019",11:51am On May 26,,m,,4 days & 8 hours,18,3
Marvelousdon,https://www.nairaland.com/marvelousdon,Edo,"December 22, 2017","2:52pm On Apr 13, 2019",,,,12 hours & 34 minutes,14,0
zyzx,https://www.nairaland.com/zyzx,lagos Nigeria,"July 15, 2015","12:17am On Aug 26, 2019",Hayorzzyzx,m,,1 day & 18 hours,112,40
seunxxl,https://www.nairaland.com/seunxxl,Lagos,"August 30, 2017","3:00am On Jul 28, 2019",love ur self,m,@oluwaseunxxl,13 hours & 8 minutes,18,0
mjbaba,https://www.nairaland.com/mjbaba,"Crocodile City, 9ja","June 15, 2008",6:53pm,,,,3 months & 12 days,805,27
DCTrendy,https://www.nairaland.com/dctrendy,,"May 07, 2012",3:20pm,,m,,1 month & 27 days,1300,59
Gprince19,https://www.nairaland.com/gprince19,,"February 26, 2019","1:35pm On Dec 31, 2020",,m,,9 hours & 52 minutes,39,2
royalair,https://www.nairaland.com/royalair,Pluto,"February 11, 2018",11:03pm,"Pain is temporar, Glory is Forever. Seize your Glory ",m,,2 months & 4 days,763,25
funky64,https://www.nairaland.com/funky64,lagos,"February 14, 2015","8:14am On Sep 02, 2019",twitter handle : @funkennel,m,@funkytunz,1 hour & 33 minutes,3,2
Emmymarvel,https://www.nairaland.com/emmymarvel,Lagos,"September 07, 2017",9:34pm,"When u begin to think everyone around you is mad, just know you are insane.",m,@emmymarvel,9 days & 16 hours,177,0
Langdon2016,https://www.nairaland.com/langdon2016,,"October 12, 2018","1:14pm On May 04, 2020",,,,7 days & 7 hours,33,1
raphroye,https://www.nairaland.com/raphroye,,"May 18, 2012",10:48pm,,,,3 months & 29 days,445,11
Imhans,https://www.nairaland.com/imhans,,,,,,,,,0
kingsleychile,https://www.nairaland.com/kingsleychile,,,,,,,,,0
Babyboy2324,https://www.nairaland.com/babyboy2324,,,,,,,,,0
MikedoreJ,https://www.nairaland.com/mikedorej,,,,,,,,,0
Praspassie,https://www.nairaland.com/praspassie,,,,,,,,,0
theodore84,https://www.nairaland.com/theodore84,,,,,,,,,0
Tonye007,https://www.nairaland.com/tonye007,,,,,,,,,0
vinotinto5,https://www.nairaland.com/vinotinto5,,,,,,,,,0
Adakintroy,https://www.nairaland.com/adakintroy,,,,,,,,,0
Lousymouth,https://www.nairaland.com/lousymouth,,,,,,,,,0
Doglove91,https://www.nairaland.com/doglove91,,,,,,,,,0
johnclement,https://www.nairaland.com/johnclement,,,,,,,,,0
Herbbey09,https://www.nairaland.com/herbbey09,,,,,,,,,0
OmniyiAlex,https://www.nairaland.com/omniyialex,,,,,,,,,0
jakeFrost,https://www.nairaland.com/jakefrost,,,,,,,,,0
Sandra45,https://www.nairaland.com/sandra45,,,,,,,,,0
Olugabby,https://www.nairaland.com/olugabby,,,,,,,,,0
obehi247,https://www.nairaland.com/obehi247,,,,,,,,,0
segzypark,https://www.nairaland.com/segzypark,,,,,,,,,0
yorex,https://www.nairaland.com/yorex,,,,,,,,,0
Olamalay,https://www.nairaland.com/olamalay,,,,,,,,,0
ayoksofficial,https://www.nairaland.com/ayoksofficial,,,,,,,,,0
IJBNSH,https://www.nairaland.com/ijbnsh,,,,,,,,,0
holaoni,https://www.nairaland.com/holaoni,,,,,,,,,0
gabrielto,https://www.nairaland.com/gabrielto,,,,,,,,,0
ensodev,https://www.nairaland.com/ensodev,,,,,,,,,0
AlphaK,https://www.nairaland.com/alphak,,,,,,,,,0
promizbob,https://www.nairaland.com/promizbob,,,,,,,,,0
alphatron,https://www.nairaland.com/alphatron,,,,,,,,,0
Golony,https://www.nairaland.com/golony,,,,,,,,,0
fiischer,https://www.nairaland.com/fiischer,,,,,,,,,0
dadd2,https://www.nairaland.com/dadd2,,,,,,,,,0
cmooa,https://www.nairaland.com/cmooa,,,,,,,,,0
Onyeka90210,https://www.nairaland.com/onyeka90210,,,,,,,,,0
Handsomebb,https://www.nairaland.com/handsomebb,,,,,,,,,0
okenze007,https://www.nairaland.com/okenze007,,,,,,,,,0
donblazer10,https://www.nairaland.com/donblazer10,,,,,,,,,0
Vivianzita,https://www.nairaland.com/vivianzita,,,,,,,,,0
Alvinm588,https://www.nairaland.com/alvinm588,,,,,,,,,0
Harvestp,https://www.nairaland.com/harvestp,,,,,,,,,0
opzycoded,https://www.nairaland.com/opzycoded,,,,,,,,,0
Jackonsy,https://www.nairaland.com/jackonsy,,,,,,,,,0
seyi200,https://www.nairaland.com/seyi200,,,,,,,,,0
Doglifefordogs,https://www.nairaland.com/doglifefordogs,,,,,,,,,0
daafol,https://www.nairaland.com/daafol,,,,,,,,,0
sassie79,https://www.nairaland.com/sassie79,,,,,,,,,0
BlackJack09,https://www.nairaland.com/blackjack09,,,,,,,,,0
okayman4real,https://www.nairaland.com/okayman4real,,,,,,,,,0
Lilusm,https://www.nairaland.com/lilusm,,,,,,,,,0
Shekoniadebayo,https://www.nairaland.com/shekoniadebayo,,,,,,,,,0
Iamnorth,https://www.nairaland.com/iamnorth,,,,,,,,,0
jephyboy,https://www.nairaland.com/jephyboy,,,,,,,,,0
kunlexist,https://www.nairaland.com/kunlexist,,,,,,,,,0
fighterjetc130,https://www.nairaland.com/fighterjetc130,,,,,,,,,0
bolarinwa205,https://www.nairaland.com/bolarinwa205,,,,,,,,,0
peterududu,https://www.nairaland.com/peterududu,,,,,,,,,0
kelbranty,https://www.nairaland.com/kelbranty,,,,,,,,,0
bluntjudge,https://www.nairaland.com/bluntjudge,,,,,,,,,0
taophykjackson,https://www.nairaland.com/taophykjackson,,,,,,,,,0
Olami1244,https://www.nairaland.com/olami1244,,,,,,,,,0
Tariy02,https://www.nairaland.com/tariy02,,,,,,,,,0
Paulquest1,https://www.nairaland.com/paulquest1,,,,,,,,,0
Roverguy,https://www.nairaland.com/roverguy,,,,,,,,,0
CakezbyMarie,https://www.nairaland.com/cakezbymarie,,,,,,,,,0
Martinsking100,https://www.nairaland.com/martinsking100,,,,,,,,,0
Akaninyenenyong,https://www.nairaland.com/akaninyenenyong,,,,,,,,,0
Acjohn,https://www.nairaland.com/acjohn,,,,,,,,,0
Otus5566,https://www.nairaland.com/otus5566,,,,,,,,,0
mytalentlyng,https://www.nairaland.com/mytalentlyng,,,,,,,,,0
donkobi,https://www.nairaland.com/donkobi,,,,,,,,,0
Chomolina,https://www.nairaland.com/chomolina,,,,,,,,,0
Kayodemeshak,https://www.nairaland.com/kayodemeshak,,,,,,,,,0
emmanuelabnj,https://www.nairaland.com/emmanuelabnj,,,,,,,,,0
benedum,https://www.nairaland.com/benedum,,,,,,,,,0
KuJr,https://www.nairaland.com/kujr,,,,,,,,,0
sam121,https://www.nairaland.com/sam121,,,,,,,,,0
ikefty,https://www.nairaland.com/ikefty,,,,,,,,,0
sallybeebee,https://www.nairaland.com/sallybeebee,,,,,,,,,0
Gadgetmobil,https://www.nairaland.com/gadgetmobil,,,,,,,,,0
PAWSNCLAWS,https://www.nairaland.com/pawsnclaws,,,,,,,,,0
Pentagon56,https://www.nairaland.com/pentagon56,,,,,,,,,0
Anibiniran,https://www.nairaland.com/anibiniran,,,,,,,,,0
MANCHESTERBLAC,https://www.nairaland.com/manchesterblac,,,,,,,,,0
realemmadrid,https://www.nairaland.com/realemmadrid,,,,,,,,,0
tonydaniel,https://www.nairaland.com/tonydaniel,,,,,,,,,0
papnice,https://www.nairaland.com/papnice,,,,,,,,,0
blaze612,https://www.nairaland.com/blaze612,,,,,,,,,0
Ukaivbemiles,https://www.nairaland.com/ukaivbemiles,,,,,,,,,0
impeccablephili,https://www.nairaland.com/impeccablephili,,,,,,,,,0
bobiaustine85,https://www.nairaland.com/bobiaustine85,,,,,,,,,0
Nicklaus619,https://www.nairaland.com/nicklaus619,,,,,,,,,0
Winwaynejames11,https://www.nairaland.com/winwaynejames11,,,,,,,,,0
Akobiowo,https://www.nairaland.com/akobiowo,,,,,,,,,0
dammiejay,https://www.nairaland.com/dammiejay,,,,,,,,,0
kingGoldust,https://www.nairaland.com/kinggoldust,,,,,,,,,0
iykell,https://www.nairaland.com/iykell,,,,,,,,,0
apexjohn,https://www.nairaland.com/apexjohn,,,,,,,,,0
Mrshape,https://www.nairaland.com/mrshape,,,,,,,,,0
priestcharm,https://www.nairaland.com/priestcharm,,,,,,,,,0
Bubewilson,https://www.nairaland.com/bubewilson,,,,,,,,,0
toshiba82,https://www.nairaland.com/toshiba82,,,,,,,,,0
bobbyslim,https://www.nairaland.com/bobbyslim,,,,,,,,,0
Seyong10,https://www.nairaland.com/seyong10,,,,,,,,,0
asfrankasf,https://www.nairaland.com/asfrankasf,,,,,,,,,0
shabzeebabs,https://www.nairaland.com/shabzeebabs,,,,,,,,,0
digits69,https://www.nairaland.com/digits69,,,,,,,,,0
Bobby258,https://www.nairaland.com/bobby258,,,,,,,,,0
dlaw281,https://www.nairaland.com/dlaw281,,,,,,,,,0
Chrismentor3,https://www.nairaland.com/chrismentor3,,,,,,,,,0
meekyman,https://www.nairaland.com/meekyman,,,,,,,,,0
ayomide5210,https://www.nairaland.com/ayomide5210,,,,,,,,,0
Olabodmit,https://www.nairaland.com/olabodmit,,,,,,,,,0
Peterodion49,https://www.nairaland.com/peterodion49,,,,,,,,,0
Vikyung,https://www.nairaland.com/vikyung,,,,,,,,,0
gibsonwales,https://www.nairaland.com/gibsonwales,,,,,,,,,0
tonbeeus,https://www.nairaland.com/tonbeeus,,,,,,,,,0
Huncho19,https://www.nairaland.com/huncho19,,,,,,,,,0
babatade,https://www.nairaland.com/babatade,,,,,,,,,0
suzzyboss,https://www.nairaland.com/suzzyboss,,,,,,,,,0
laluski,https://www.nairaland.com/laluski,,,,,,,,,0
emmyslimzy,https://www.nairaland.com/emmyslimzy,,,,,,,,,0
Sheryph1,https://www.nairaland.com/sheryph1,,,,,,,,,0
Fedxwan,https://www.nairaland.com/fedxwan,,,,,,,,,0
NaGod001,https://www.nairaland.com/nagod001,,,,,,,,,0
Cruz12345,https://www.nairaland.com/cruz12345,,,,,,,,,0
SamOwise,https://www.nairaland.com/samowise,,,,,,,,,0
afrika4real,https://www.nairaland.com/afrika4real,,,,,,,,,0
Mzcaz,https://www.nairaland.com/mzcaz,,,,,,,,,0
hugokeyz,https://www.nairaland.com/hugokeyz,,,,,,,,,0
voiceoftruthNG,https://www.nairaland.com/voiceoftruthng,,,,,,,,,0
OGZIL,https://www.nairaland.com/ogzil,,,,,,,,,0
Chaser25,https://www.nairaland.com/chaser25,,,,,,,,,0
stancod,https://www.nairaland.com/stancod,,,,,,,,,0
olamirewaju6190,https://www.nairaland.com/olamirewaju6190,,,,,,,,,0
Emmakolo11,https://www.nairaland.com/emmakolo11,,,,,,,,,0
sermming,https://www.nairaland.com/sermming,,,,,,,,,0
Dog4real,https://www.nairaland.com/dog4real,,,,,,,,,0
Henses,https://www.nairaland.com/henses,,,,,,,,,0
PAPIJAID,https://www.nairaland.com/papijaid,,,,,,,,,0
Royee,https://www.nairaland.com/royee,,,,,,,,,0
immaculateimmey,https://www.nairaland.com/immaculateimmey,,,,,,,,,0
davisiyeh,https://www.nairaland.com/davisiyeh,,,,,,,,,0
Yungsaint80,https://www.nairaland.com/yungsaint80,,,,,,,,,0
prince2pac,https://www.nairaland.com/prince2pac,,,,,,,,,0
Benediction777,https://www.nairaland.com/benediction777,,,,,,,,,0
Ayomitide77,https://www.nairaland.com/ayomitide77,,,,,,,,,0
Vethrodoctor11,https://www.nairaland.com/vethrodoctor11,,,,,,,,,0
jonnex,https://www.nairaland.com/jonnex,,,,,,,,,0
Segvet,https://www.nairaland.com/segvet,,,,,,,,,0
ikechialex1,https://www.nairaland.com/ikechialex1,,,,,,,,,0
delard1285,https://www.nairaland.com/delard1285,,,,,,,,,0
mboii,https://www.nairaland.com/mboii,,,,,,,,,0
kennylesy122,https://www.nairaland.com/kennylesy122,,,,,,,,,0
websitegurufix,https://www.nairaland.com/websitegurufix,,,,,,,,,0
Mykellio,https://www.nairaland.com/mykellio,,,,,,,,,0
Arufa1,https://www.nairaland.com/arufa1,,,,,,,,,0
omron,https://www.nairaland.com/omron,,,,,,,,,0
gspace1960,https://www.nairaland.com/gspace1960,,,,,,,,,0
Naybahood,https://www.nairaland.com/naybahood,,,,,,,,,0
kielkiel,https://www.nairaland.com/kielkiel,,,,,,,,,0
maxipharo,https://www.nairaland.com/maxipharo,,,,,,,,,0
Uniqueaccountant,https://www.nairaland.com/uniqueaccountant,,,,,,,,,0
Physarhyorh,https://www.nairaland.com/physarhyorh,,,,,,,,,0
Jonah507,https://www.nairaland.com/jonah507,,,,,,,,,0
Dbryan,https://www.nairaland.com/dbryan,,,,,,,,,0
Hadewahley,https://www.nairaland.com/hadewahley,,,,,,,,,0
PetsAirways,https://www.nairaland.com/petsairways,,,,,,,,,0
enilowo,https://www.nairaland.com/enilowo,,,,,,,,,0
Edricson01,https://www.nairaland.com/edricson01,,,,,,,,,0
Bodecian,https://www.nairaland.com/bodecian,,,,,,,,,0
uc22223333111,https://www.nairaland.com/uc22223333111,,,,,,,,,0
fuke,https://www.nairaland.com/fuke,,,,,,,,,0
yemite4040,https://www.nairaland.com/yemite4040,,,,,,,,,0
rozario,https://www.nairaland.com/rozario,,,,,,,,,0
oniademola66,https://www.nairaland.com/oniademola66,,,,,,,,,0
Bighenzzy,https://www.nairaland.com/bighenzzy,,,,,,,,,0
Peterjetlee007,https://www.nairaland.com/peterjetlee007,,,,,,,,,0
Alams85,https://www.nairaland.com/alams85,,,,,,,,,0
deywinks29,https://www.nairaland.com/deywinks29,,,,,,,,,0
dammymajek,https://www.nairaland.com/dammymajek,,,,,,,,,0
akoniyong,https://www.nairaland.com/akoniyong,,,,,,,,,0
drednoir,https://www.nairaland.com/drednoir,,,,,,,,,0
Swfarm2020,https://www.nairaland.com/swfarm2020,,,,,,,,,0
oluwarotimi405,https://www.nairaland.com/oluwarotimi405,,,,,,,,,0
verminnel,https://www.nairaland.com/verminnel,,,,,,,,,0
REA1,https://www.nairaland.com/rea1,,,,,,,,,0
aderopo6hameed,https://www.nairaland.com/aderopo6hameed,,,,,,,,,0
Shegs105,https://www.nairaland.com/shegs105,,,,,,,,,0
muyeskin,https://www.nairaland.com/muyeskin,,,,,,,,,0
KennelGP,https://www.nairaland.com/kennelgp,,,,,,,,,0
HARDESTNIGGAINT,https://www.nairaland.com/hardestniggaint,,,,,,,,,0
chukslove1,https://www.nairaland.com/chukslove1,,,,,,,,,0
Milliammeter,https://www.nairaland.com/milliammeter,,,,,,,,,0
Bombay1991,https://www.nairaland.com/bombay1991,,,,,,,,,0
niceface,https://www.nairaland.com/niceface,,,,,,,,,0
Geekamon,https://www.nairaland.com/geekamon,,,,,,,,,0
129aalia,https://www.nairaland.com/129aalia,,,,,,,,,0
Toyo2wice,https://www.nairaland.com/toyo2wice,,,,,,,,,0
Valentine001,https://www.nairaland.com/valentine001,,,,,,,,,0
Cricciautos,https://www.nairaland.com/cricciautos,,,,,,,,,0
Evans231,https://www.nairaland.com/evans231,,,,,,,,,0
waleyp,https://www.nairaland.com/waleyp,,,,,,,,,0
cybriz82,https://www.nairaland.com/cybriz82,,,,,,,,,0
michaeltotti,https://www.nairaland.com/michaeltotti,,,,,,,,,0
ogunjyde2004,https://www.nairaland.com/ogunjyde2004,,,,,,,,,0
Matthego,https://www.nairaland.com/matthego,,,,,,,,,0
eagshay94,https://www.nairaland.com/eagshay94,,,,,,,,,0
Kentiman,https://www.nairaland.com/kentiman,,,,,,,,,0
Herdeyholuwa,https://www.nairaland.com/herdeyholuwa,,,,,,,,,0
Medallion500,https://www.nairaland.com/medallion500,,,,,,,,,0
ubene05,https://www.nairaland.com/ubene05,,,,,,,,,0
Mosh999,https://www.nairaland.com/mosh999,,,,,,,,,0
youngkhid,https://www.nairaland.com/youngkhid,,,,,,,,,0
Yinkaale,https://www.nairaland.com/yinkaale,,,,,,,,,0
Knowbody,https://www.nairaland.com/knowbody,,,,,,,,,0
550chiagozie,https://www.nairaland.com/550chiagozie,,,,,,,,,0
tupez,https://www.nairaland.com/tupez,,,,,,,,,0
arubinagha,https://www.nairaland.com/arubinagha,,,,,,,,,0
Awotiwon1,https://www.nairaland.com/awotiwon1,,,,,,,,,0
jeff1980,https://www.nairaland.com/jeff1980,,,,,,,,,0
Mozenge1,https://www.nairaland.com/mozenge1,,,,,,,,,0
tundebaba7,https://www.nairaland.com/tundebaba7,,,,,,,,,0
chris4gold,https://www.nairaland.com/chris4gold,,,,,,,,,0
cRoman,https://www.nairaland.com/croman,,,,,,,,,0
lmdee4real,https://www.nairaland.com/lmdee4real,,,,,,,,,0
Flames000,https://www.nairaland.com/flames000,,,,,,,,,0
Waltiro,https://www.nairaland.com/waltiro,,,,,,,,,0
Champay,https://www.nairaland.com/champay,,,,,,,,,0
UGJ2,https://www.nairaland.com/ugj2,,,,,,,,,0
Godoverevery,https://www.nairaland.com/godoverevery,,,,,,,,,0
seyimailbox,https://www.nairaland.com/seyimailbox,,,,,,,,,0
perfecta1,https://www.nairaland.com/perfecta1,,,,,,,,,0
Tbexayo123,https://www.nairaland.com/tbexayo123,,,,,,,,,0
shox,https://www.nairaland.com/shox,,,,,,,,,0
DDexter99,https://www.nairaland.com/ddexter99,,,,,,,,,0
rickyjoe,https://www.nairaland.com/rickyjoe,,,,,,,,,0
Tobhap,https://www.nairaland.com/tobhap,,,,,,,,,0
Dirtydog,https://www.nairaland.com/dirtydog,,,,,,,,,0
gurusman365,https://www.nairaland.com/gurusman365,,,,,,,,,0
nwosue67,https://www.nairaland.com/nwosue67,,,,,,,,,0
anyiobi262,https://www.nairaland.com/anyiobi262,,,,,,,,,0
3exe3,https://www.nairaland.com/3exe3,,,,,,,,,0
rockys,https://www.nairaland.com/rockys,,,,,,,,,0
classicalbenson,https://www.nairaland.com/classicalbenson,,,,,,,,,0
Kunlexyquincy,https://www.nairaland.com/kunlexyquincy,,,,,,,,,0
Dadisbig,https://www.nairaland.com/dadisbig,,,,,,,,,0
p4pako,https://www.nairaland.com/p4pako,,,,,,,,,0
Silaspeter,https://www.nairaland.com/silaspeter,,,,,,,,,0
Specialjoe,https://www.nairaland.com/specialjoe,,,,,,,,,0
Olayinka7357,https://www.nairaland.com/olayinka7357,,,,,,,,,0
mega411,https://www.nairaland.com/mega411,,,,,,,,,0
