name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
chizzypresh,https://www.nairaland.com/chizzypresh,Somewhere in Africa,"May 31, 2016",6:04am,God is not dead ,f,,1 month & 22 days,796,7
queenex,https://www.nairaland.com/queenex,,"July 16, 2008",9:37am,GOD has taken the wheel,f,saucyM,1 month & 25 days,528,53
tim1256,https://www.nairaland.com/tim1256,Nigeria,"October 04, 2013",8:00am,I love my life. ,m,@bamideletimothy,1 month & 23 days,499,22
Kkings11,https://www.nairaland.com/kkings11,,"March 24, 2019",6:01pm On Jul 24,,,,15 days & 20 hours,435,48
shoesaffairs,https://www.nairaland.com/shoesaffairs,"Lekki, Lagos","April 20, 2012",5:37pm On Jul 25,"For Turkey wears, autogele, fascinators, @ affordable prices call or whatsapp 08039713744 or check out our page on facebook: autogele by Fashion Catalogue",f,@ebereobiorah,7 days & 13 hours,408,58
okenwa101,https://www.nairaland.com/okenwa101,abuja,"June 22, 2012",8:56am,integrity makes a man. ,m,,2 months & 4 days,287,24
prestige2013,https://www.nairaland.com/prestige2013,,"June 05, 2013",8:19am,08184659018,,,4 months & 4 days,912,24
Damritoh,https://www.nairaland.com/damritoh,,"May 22, 2016",5:41pm On Jul 05,,m,,27 days & 4 hours,262,3
timothy2396,https://www.nairaland.com/timothy2396,Ikeja,"August 25, 2013",9:24am,GOD is the greatest,m,,1 month & 22 days,228,7
vutramanh,https://www.nairaland.com/vutramanh,,"July 04, 2018","4:11am On Jul 06, 2019",,f,,40 minutes & 17 seconds,21,2
Emmaculate20,https://www.nairaland.com/emmaculate20,Nigeria,"February 12, 2012",11:02pm On Jul 25,"If You Can Say Good About Somebody, Just Shut Up8-)",m,,5 months & 16 days,906,0
saratackit,https://www.nairaland.com/saratackit,,"March 02, 2021",1:11pm On Jul 25,,,,1 day & 4 hours,304,1
tarantino1,https://www.nairaland.com/tarantino1,,"January 16, 2020",7:48am,,,,3 months & 6 days,1776,6
Nuelng,https://www.nairaland.com/nuelng,,"February 25, 2021",8:13pm On Jul 20,,,,5 hours & 14 minutes,67,0
DanyelAmeh,https://www.nairaland.com/danyelameh,,"November 16, 2021",1:48pm On Jul 25,,,,1 hour,24,0
hoilakes,https://www.nairaland.com/hoilakes,Portharcourt,"June 22, 2020",8:10pm On Jul 25,,m,@hoilakes,5 days,768,11
mark2020prince,https://www.nairaland.com/mark2020prince,,"May 07, 2020",2:03pm On Jul 01,,,,1 hour & 52 minutes,36,0
Dkdworldwide,https://www.nairaland.com/dkdworldwide,,"March 09, 2022",2:04pm On Jul 01,,,,1 hour & 37 minutes,27,0
lordcrafts,https://www.nairaland.com/lordcrafts,,"April 17, 2020",2:05pm On Jul 01,,,,1 hour & 44 minutes,32,0
AREWAELENU,https://www.nairaland.com/arewaelenu,,"June 14, 2021",1:17pm On Jul 25,,,,23 hours & 7 minutes,227,1
Danielwiseoo,https://www.nairaland.com/danielwiseoo,ikeja,"December 19, 2021",2:16pm On Jul 21,"Am still the same yesterday, today and forever more... ",f,,2 days & 18 hours,177,19
YangaBabe,https://www.nairaland.com/yangababe,,"January 11, 2020",12:13pm On Jul 18,,,,3 days,837,5
Chomolina,https://www.nairaland.com/chomolina,,"December 03, 2019",11:59pm On Jul 13,,,,16 hours & 3 minutes,105,4
Chiemezueajuzie,https://www.nairaland.com/chiemezueajuzie,,"June 02, 2019",11:32am On Jul 02,,,,3 days & 3 hours,385,5
Nuel345,https://www.nairaland.com/nuel345,,"April 02, 2022",9:14am On Jul 23,,m,,3 hours & 50 minutes,18,4
Cossybob,https://www.nairaland.com/cossybob,A Place Under The Sun,"December 31, 2014",8:55pm On Jul 02,Motivate yourself. Life goes on... ,m,,14 days & 13 hours,643,32
onomeabuja,https://www.nairaland.com/onomeabuja,,"November 25, 2017",8:05am,,,,2 months & 12 days,1452,6
Mradeboy,https://www.nairaland.com/mradeboy,Lagos,"September 14, 2017",9:53am,,m,,25 days & 19 hours,40,0
Mohbola,https://www.nairaland.com/mohbola,Lagos,"September 10, 2019",10:56pm On Jul 23,,f,,8 days & 23 hours,2421,3
lambano4,https://www.nairaland.com/lambano4,Computer Village IKEJA,"September 12, 2014",2:59pm On Jul 24,REPAIRS*SALES*SWAP*BUY ...All iPhone Models*Samsung*All Android Mobile Device ...Calk/Whatsapp 09063858289 iFixFast Technology ,m,,3 days & 18 hours,127,0
Nonyjacuzie,https://www.nairaland.com/nonyjacuzie,,"May 03, 2022",1:36am On Jun 30,,m,,1 day & 16 hours,58,0
Honlucas,https://www.nairaland.com/honlucas,,"February 19, 2022",12:50am,,,,19 days & 19 hours,254,9
Leon2dgh,https://www.nairaland.com/leon2dgh,,"March 27, 2019",9:00am On Jul 25,,,,2 days & 3 hours,149,0
essentialone,https://www.nairaland.com/essentialone,Canada,"July 31, 2015",9:10am,Beware of those smiling enemies that pretend to be friends!,m,,6 days & 4 hours,862,93
Rubbiish,https://www.nairaland.com/rubbiish,Abuja,"September 11, 2017",9:45am,,m,,7 months & 4 days,6486,4
Emmykul123,https://www.nairaland.com/emmykul123,Rivers ,"March 20, 2019",1:11pm On Jul 02,a great sports lover,m,,1 day & 22 hours,21,0
Goalnaldo,https://www.nairaland.com/goalnaldo,Somewhere in Delta State,"July 21, 2015",5:06pm On Jul 25,"Yes, when this heart and flesh shall fail and mortal life shall cease, I shall possess within the vail a life of joy and peace.",m,@Brytophobia,3 months,6072,166
bawz012,https://www.nairaland.com/bawz012,,"February 02, 2015",11:20am On Jul 25,,m,,1 month & 12 days,739,16
bobbiiee,https://www.nairaland.com/bobbiiee,,"August 26, 2008",9:32am,,,,25 days & 23 hours,193,12
samwillyco1,https://www.nairaland.com/samwillyco1,,"June 20, 2020",6:32pm On Jul 03,"Never Give Up in Life No Matter The Condition, One Day You Will Smile In Jesus Name AMEN",m,,1 month & 3 days,3378,0
Amat4u2,https://www.nairaland.com/amat4u2,,"June 02, 2022",6:32pm On Jul 05,,,,3 days & 2 hours,27,4
TechExplorer,https://www.nairaland.com/techexplorer,,"June 21, 2022",5:06pm On Jul 22,,,,2 hours & 31 minutes,33,4
timmyblast,https://www.nairaland.com/timmyblast,lagos,"August 24, 2013",12:22am,God's love,m,27515F0,2 months,1201,59
destinytreasure,https://www.nairaland.com/destinytreasure,Akwa Ibom,"November 01, 2013",6:07pm On Jul 25,,m,edidestrea,23 hours & 41 minutes,10,0
amyxtrac,https://www.nairaland.com/amyxtrac,,"December 08, 2014",9:58am,,,,2 months & 13 days,60,6
kolarov93,https://www.nairaland.com/kolarov93,Ibadan,"January 09, 2016",2:04am,,m,Kolarov2015,12 days,137,5
netzro,https://www.nairaland.com/netzro,"Lagos, Nigeria ","July 30, 2016",12:20am,,m,,1 month & 18 days,134,7
Billionz5,https://www.nairaland.com/billionz5,,"July 12, 2022",4:58pm On Jul 15,,,,26 minutes & 26 seconds,8,3
KeplersCross,https://www.nairaland.com/keplerscross,,"January 05, 2022",12:56pm On Jul 25,,,,5 hours & 44 minutes,51,0
PotterJokes44,https://www.nairaland.com/potterjokes44,,"January 05, 2022",12:54pm On Jul 25,,,,3 hours & 58 minutes,45,0
Franktom247,https://www.nairaland.com/franktom247,OMINIPRESENT,"November 12, 2018",7:51pm On Jul 21,3028130534 POLARIS BANK HELP ME ,m,,1 month & 15 days,1284,1
Mimiko3,https://www.nairaland.com/mimiko3,,"April 23, 2021",12:07pm On Jul 24,,,,3 hours & 59 minutes,67,0
Jayjerjay,https://www.nairaland.com/jayjerjay,,"February 25, 2021",8:14pm On Jul 20,,,,5 hours & 33 minutes,64,0
iseoluwanimi,https://www.nairaland.com/iseoluwanimi,,"March 03, 2021",1:55pm On Jul 19,,,,1 day & 12 hours,352,5
kuljayms1,https://www.nairaland.com/kuljayms1,Anywhere you see me ,"March 02, 2015",7:16pm On Jul 19,"God's been good to me, I cannot tell it all ",m,,18 days & 23 hours,263,5
Simileoluwa4eva,https://www.nairaland.com/simileoluwa4eva,,"February 25, 2021",10:32pm On Jul 25,,,,6 hours & 20 minutes,26,0
AyodejiFelix,https://www.nairaland.com/ayodejifelix,"Osun State, Nigeria ","February 24, 2021",4:41pm On Jul 22,Mathematician ,m,,8 hours & 45 minutes,100,4
johhbekeboh09,https://www.nairaland.com/johhbekeboh09,"Ejigbo,Lagos State,Nigeria","February 04, 2017",8:02am On Jul 24,,m,@CubuikeJ,1 month & 11 days,612,27
Andoskian,https://www.nairaland.com/andoskian,,"June 01, 2021",7:53am,I believe in Jesus,m,,17 days & 20 hours,28,0
yusluvad,https://www.nairaland.com/yusluvad,"Lagos/Ogun, Nigeria","August 18, 2016",10:21pm On Jul 25,"Through My Hardwork, Prayer, Dilligence, And Commitment, I Believe My Future Is Bright and Great!!!",m,AlaoOlawale6,3 months & 2 days,4472,28
Adeoginni,https://www.nairaland.com/adeoginni,,"July 19, 2019",9:51am On Jul 22,,,,1 hour & 21 minutes,10,4
Kaz08,https://www.nairaland.com/kaz08,,"November 13, 2011",1:07am On Jul 21,,,,2 minutes,1,0
CoolKizzy,https://www.nairaland.com/coolkizzy,Nigeria ,"November 01, 2012",12:45am,It is what it is,m,,4 months & 5 days,917,33
14july,https://www.nairaland.com/14july,,"July 16, 2022",7:49am,,,,6 hours & 13 minutes,4,0
Em222,https://www.nairaland.com/em222,,"July 23, 2020",8:48am On Jul 25,,,,8 days & 11 hours,612,458
