name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
dste,https://www.nairaland.com/dste,China,"December 03, 2014",6:44am On Apr 26," whatsapp number +8615120010193, i can help you do your business in China, student admission, importation and exportation of goods, as well as shipping to Nigeria at a very Cheap amount... visit howfarchina.com for more info",m,,4 days & 20 hours,123,4
Wisegeek01,https://www.nairaland.com/wisegeek01,Lekki,"January 03, 2014",2:02pm On Jun 19,". ..Work Hard, Play Hard. ..",m,@Maveric_X,6 days & 23 hours,886,53
tdayof,https://www.nairaland.com/tdayof,Military ,"November 01, 2013",8:37pm On Jun 13,,m,,6 months & 25 days,7494,49
Wemori,https://www.nairaland.com/wemori,,"November 24, 2009",2:27am On Mar 04,,m,,20 days & 7 hours,15,
endtime1,https://www.nairaland.com/endtime1,lagos,"January 06, 2014",10:21pm On Jul 25,life without jesus is meaningless n unfruitful,m,,4 months & 16 days,351,5
bernadlucy,https://www.nairaland.com/bernadlucy,,"November 05, 2013",9:27pm On Dec 18,,,,22 hours & 29 minutes,12,1
suxes2005,https://www.nairaland.com/suxes2005,,"February 10, 2006",4:47am On May 12,Welcome to my page. Send me your questions and i will take time to answer em all.... I believe in equality,m,@suxes2005,6 months & 16 days,4885,530
treyfly,https://www.nairaland.com/treyfly,,"November 01, 2014",7:44am On Jul 12,am bless,m,,18 hours & 7 minutes,27,
elenewton1,https://www.nairaland.com/elenewton1,,"December 30, 2014",11:49pm On Jul 25,,,,2 months & 9 days,278,6
newsteller,https://www.nairaland.com/newsteller,,"August 22, 2015",6:05pm On Oct 07,,,,1 day & 4 hours,163,82
taiwomiii,https://www.nairaland.com/taiwomiii,,"December 26, 2015",11:45am On Mar 11,,,,3 hours & 1 minute,6,
benson3788,https://www.nairaland.com/benson3788,,"October 23, 2012",8:23am On Nov 30,"I consider myself to be a CRAYON, I may not be your favourite colour, but one day you will need me to complete your picture.",m,,3 days & 5 hours,142,
bjrotela,https://www.nairaland.com/bjrotela,,"November 15, 2015",3:32pm On Jul 18,,,,8 hours & 23 minutes,2,
DonSegmond,https://www.nairaland.com/donsegmond,"Achara Layout, Enugu","January 25, 2009",11:01pm On Oct 13,,m,,4 days & 21 hours,267,15
Seunvense,https://www.nairaland.com/seunvense,Akure,"November 23, 2013",1:53pm On Jul 09,,m,Seunvense,4 months & 25 days,434,3
zeeenie,https://www.nairaland.com/zeeenie,,"January 10, 2016",7:57am On Jul 23,,,,16 hours & 20 minutes,9,
Wanice,https://www.nairaland.com/wanice,,"July 25, 2015",12:28am,,,,2 months & 15 days,250,19
Yhasf,https://www.nairaland.com/yhasf,,"January 31, 2016",4:44pm On Jul 24,,,,5 days & 13 hours,29,1
Dlzainab13,https://www.nairaland.com/dlzainab13,,"February 01, 2016",8:31pm On Aug 31,,,,3 hours & 4 minutes,7,
BrilliantMind,https://www.nairaland.com/brilliantmind,,"January 31, 2016",12:05pm On Jan 04,,,,17 days & 15 hours,205,8
Quadorup,https://www.nairaland.com/quadorup,,"April 05, 2013",2:53pm On Oct 16,Freedom isnt freedom...It is a call for responsibility,m,,1 month & 4 days,133,7
opy002,https://www.nairaland.com/opy002,Ibadan,"April 01, 2015",10:55am On Jul 15,"Let not the wise man glory in his wisdom, neither let the mighty man glory in his might, let not the rich man glory in his riches’, but let him that glorieth glory in this, that he understandeth and knoweth me, that I am the Lord...Jer 9:23-24 ",m,,1 month & 23 days,126,11
Intelligentdude,https://www.nairaland.com/intelligentdude,Whatsap: +2348134657689,"August 31, 2015",7:32pm On Jul 25,Knowledge acquisition is the currency of the 21st century,m,https://twitter.com/intelligentdud2,2 months & 12 days,6899,29
Aim07,https://www.nairaland.com/aim07,Lagos,"December 17, 2012",10:34pm On Jul 14,Tough time never last but tough people do because there is light at the end of d tunnel...,f,,25 days & 23 hours,566,28
loriaidah,https://www.nairaland.com/loriaidah,,"September 19, 2014",7:32am On Mar 15,For I am persuaded,f,,12 days & 9 hours,168,
YOLO1,https://www.nairaland.com/yolo1,,"April 03, 2016",9:07pm On Jan 10,,m,,1 month & 1 day,909,131
CELEYOUNG,https://www.nairaland.com/celeyoung,,"April 14, 2016",4:16pm On Dec 22,,,,1 day & 1 hour,5,1
Kingy10,https://www.nairaland.com/kingy10,,"November 04, 2015",1:42am On Jun 22,07037582962|| NO DM PlS/ QUOtE Or WHatsAPP Me,,,14 days & 21 hours,374,6
myndfreak,https://www.nairaland.com/myndfreak,,"April 19, 2016",6:46am On Jun 19,,m,@MYNDFREAK,4 hours & 16 minutes,5,1
Raphael9,https://www.nairaland.com/raphael9,,"February 08, 2015",12:47pm On Sep 07,,m,,19 days & 17 hours,177,9
cnwamo,https://www.nairaland.com/cnwamo,Shenyang China,"July 07, 2009",11:45pm On Jul 25,"Age is just a number, it doesn't determine how wise you are.",m,,3 months & 22 days,648,7
suavecool,https://www.nairaland.com/suavecool,,"April 29, 2016",10:53am On Mar 22,,,,12 hours & 34 minutes,98,
omojesu316,https://www.nairaland.com/omojesu316,Rwanda,"April 03, 2016",8:07pm On Apr 27,What is more fulfilling than living a life for another?,m,,8 days & 22 hours,54,8
MegMich,https://www.nairaland.com/megmich,Somewhere ,"July 11, 2014",5:58pm On Jul 24,Live Simply,m,,1 month & 29 days,296,77
ajetunblog,https://www.nairaland.com/ajetunblog,Nigeria,"October 07, 2012",3:23am On Nov 10,,m,richking2009,13 days & 1 hour,247,98
pabu,https://www.nairaland.com/pabu,,"April 15, 2015",2:01pm On Jul 23,God bless Nigeria,m,,1 month & 2 days,251,4
stanvesco,https://www.nairaland.com/stanvesco,kaduna,"November 19, 2013",6:24pm On Jul 25,Be our affiliate in Nigerian schools....,m,,2 months & 23 days,1244,45
gbogbolag,https://www.nairaland.com/gbogbolag,china,"December 21, 2014",2:17am On Jul 21,Reserved and God fearing,m,,13 hours & 29 minutes,6,4
heroshark,https://www.nairaland.com/heroshark,abuja,"April 14, 2015",3:37pm On Jul 25,,m,@heroshark,2 hours & 8 minutes,197,20
yasmine2015,https://www.nairaland.com/yasmine2015,,"March 31, 2015",9:43pm On Nov 16,,,,1 month & 7 days,13,
Lovedb,https://www.nairaland.com/lovedb,,"December 14, 2015",7:03pm On Nov 09,,,,1 day & 4 hours,18,
mcjendol,https://www.nairaland.com/mcjendol,,"November 05, 2014",11:28pm On Jul 25,,,,3 months & 13 days,42,
AishaBender,https://www.nairaland.com/aishabender,,"April 28, 2016",8:56pm On Jan 23,,,,2 days & 23 hours,67,
Itstyme,https://www.nairaland.com/itstyme,,"October 18, 2013",10:01am On Jul 01,,m,,14 days & 23 hours,229,3
Sheamus007,https://www.nairaland.com/sheamus007,,"August 02, 2011",11:39pm On Jul 25,,m,,1 month,632,25
Femish101,https://www.nairaland.com/femish101,Nigeria,"August 08, 2014",11:07pm On Nov 03,,m,@Isaacfemi10,15 hours & 24 minutes,28,8
AccidentalGenius,https://www.nairaland.com/accidentalgenius,"Wuse, Abuja","March 25, 2016",4:34am On Mar 30,Are we who we are by Nature or Nuture?,,,27 days & 2 hours,738,35
mezcri,https://www.nairaland.com/mezcri,Kano,"January 18, 2015",9:00am On Jul 08,I like goat meat,m,,13 days & 7 hours,111,2
Kingkingsley,https://www.nairaland.com/kingkingsley,anambra,"September 07, 2011",11:51pm On May 01,do the right things and not the fair things,m,,15 days & 14 hours,62,3
Airich01,https://www.nairaland.com/airich01,,"October 04, 2016",7:04am On Sep 24,I am because He is. ,m,,1 day & 19 hours,126,
high5,https://www.nairaland.com/high5,,"October 12, 2016",1:22am On Nov 10,,,,2 minutes & 24 seconds,1,
tblvck,https://www.nairaland.com/tblvck,,"September 09, 2016",2:38pm On Jan 25,,,,13 hours & 49 minutes,28,
Levels731,https://www.nairaland.com/levels731,,"August 06, 2016",10:16am On Aug 15,,,,2 days & 10 hours,52,
dayjeee,https://www.nairaland.com/dayjeee,,"October 04, 2012",9:30pm On Jul 25,"I love people, yeah I do in as much as u love me",m,,2 months & 16 days,932,46
Princessah,https://www.nairaland.com/princessah,,"February 13, 2013",2:07am On Dec 08,,,,5 hours & 44 minutes,30,1
Kprince94,https://www.nairaland.com/kprince94,,"November 25, 2016",6:21am On Nov 13,,,,1 hour & 25 minutes,8,
chaiks,https://www.nairaland.com/chaiks,,"May 07, 2015",10:27pm On Jul 25,,,,3 months & 20 days,1090,3
Boycool1,https://www.nairaland.com/boycool1,Nigeria,"April 25, 2016",2:07pm On Nov 11,My life? So simple. For now? Just a simple dude,m,,1 month & 5 days,176,16
abdin2007,https://www.nairaland.com/abdin2007,katsina,"November 30, 2013",7:59am On Sep 19,am cool!,m,@abdin2007,10 hours & 32 minutes,3,
BESTBOY90,https://www.nairaland.com/bestboy90,,"December 05, 2016",7:34am On Jul 11,unrelentness ,m,,2 hours & 25 minutes,3,
ameenuqaraye,https://www.nairaland.com/ameenuqaraye,,"April 18, 2016",12:00am On Jun 24,,,,1 day & 23 hours,28,1
adejosh3,https://www.nairaland.com/adejosh3,,"December 19, 2016",9:14am On May 30,,,,3 days & 9 hours,51,
govman4,https://www.nairaland.com/govman4,,"June 28, 2014",3:33pm On Jul 23,,,,9 days & 17 hours,127,8
Survival19,https://www.nairaland.com/survival19,,"January 05, 2017",8:16pm On Jan 25,,,,5 hours & 22 minutes,7,
xkunzo,https://www.nairaland.com/xkunzo,,"August 13, 2009",4:35pm On Jul 14,"always be humble-Immigration Expert,COUNSELING /CONSULTING/PERSONAL REQUEST",m,,24 days & 8 hours,325,38
LoveChrist,https://www.nairaland.com/lovechrist,,"December 29, 2016",8:28pm On Jul 20,,,,7 days & 6 hours,54,
ItsBolaji,https://www.nairaland.com/itsbolaji,Ibadan,"May 18, 2013",4:25am On Jul 25,IG @datbolaji,,datbolaji,1 month & 4 days,419,19
ozoneamani02,https://www.nairaland.com/ozoneamani02,,"November 03, 2014",8:31pm On Jul 25,,m,,4 months & 25 days,109,2
glacius,https://www.nairaland.com/glacius,,"June 29, 2013",3:32pm On Jul 25,,,,2 months & 19 days,55,
Crackerlordz,https://www.nairaland.com/crackerlordz,,"December 20, 2016",7:48am On Aug 28,,,,2 hours & 6 minutes,3,1
MeloJayEnt,https://www.nairaland.com/melojayent,Lagos,"January 23, 2013",9:31pm On Jul 23,keeping you abreast with the lastest gists around you.,,@Melojay_Ent,7 days & 14 hours,125,16
christnazirite,https://www.nairaland.com/christnazirite,,"March 26, 2016",1:56am On Apr 22,,m,olorunyomijesu1@twitter.com,12 days & 1 hour,141,24
Donplain,https://www.nairaland.com/donplain,,"January 15, 2017",7:12pm On Apr 12,,,,1 hour & 46 minutes,5,
Ubermind,https://www.nairaland.com/ubermind,,"January 12, 2017",12:35am,,,,3 days & 6 hours,439,27
akaiconcepts,https://www.nairaland.com/akaiconcepts,Lagos,"August 07, 2015",10:48pm On Feb 20,I love learning,m,,18 days & 21 hours,131,4
Durosure,https://www.nairaland.com/durosure,LAGOS NG,"April 04, 2012",1:22pm On Jul 16,AVAILABLE,m,,20 days & 15 hours,1327,14
ndukweagwu,https://www.nairaland.com/ndukweagwu,Nigeria,"September 18, 2011",11:49pm On Oct 10,,m,,3 hours & 16 minutes,18,1
Bluffly,https://www.nairaland.com/bluffly,,"October 15, 2014",9:20pm On Jul 25,,,,4 months & 11 days,4179,24
olupentane,https://www.nairaland.com/olupentane,Ibadan,"July 27, 2011",3:01pm On Apr 06,"life is not an Ipod where you listen to your favourite songs, but it's a radio, you just have to enjoy what is being played.",m,,1 month & 10 days,343,11
ogedozie,https://www.nairaland.com/ogedozie,,"November 18, 2015",7:09pm On Jul 25,,,,2 months & 24 days,144,
jajuk,https://www.nairaland.com/jajuk,,"September 16, 2008",7:07am On Oct 13,,,,13 hours & 20 minutes,17,
Kaybeeeee,https://www.nairaland.com/kaybeeeee,China,"April 26, 2015",6:31am On Jul 21,"Order your goods from China through us, we do bulk orders and single order, and we offer excellent service ",m,,1 month & 25 days,719,11
AtticaLord,https://www.nairaland.com/atticalord,,"March 12, 2017",10:52pm On Mar 13,,,,32 minutes & 54 seconds,2,
Tumise100,https://www.nairaland.com/tumise100,Ago Iwoye,"June 09, 2013",10:54pm On Mar 25,Life is all about taking risk,m,@tumise100,1 month & 14 days,45,6
