name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
GideonG,https://www.nairaland.com/gideong,Nigeria.,"February 07, 2009",8:46pm On Jul 25,,m,@GideonGeorge,2 months & 7 days,3232,96
DaInferno,https://www.nairaland.com/dainferno,makurdi ,"November 17, 2015",10:38pm On Jul 25,I give you what you want except I dnt have... Whatever! ,m,,2 months & 3 days,2868,17
TopeQs,https://www.nairaland.com/topeqs,,"October 31, 2015",10:39pm On Jul 25,,,,2 months & 3 days,1472,9
Nicklaus619,https://www.nairaland.com/nicklaus619,Earth,"January 02, 2018",5:21pm On Mar 24,Welcome to Michaelsons #AlwaysAndForever,m,@illdreezy_tochi ,4 months & 2 days,3149,23
OscarJaden,https://www.nairaland.com/oscarjaden,Abuja ,"December 26, 2018",8:11pm On Jul 25,put yourself first before others ♥️,m,,2 months & 16 days,1195,23
Xceptznal,https://www.nairaland.com/xceptznal,,"March 27, 2017",11:00pm On Jul 25,,,,13 days & 14 hours,20,1
Papacypaul,https://www.nairaland.com/papacypaul,Ibadan,"June 12, 2013",11:31pm On Jul 25,,m,,2 months & 14 days,1139,20
automaniac69,https://www.nairaland.com/automaniac69,,"March 20, 2019",5:46pm On Jul 22,,,,9 hours,65,
adelnehis,https://www.nairaland.com/adelnehis,,"April 28, 2017",11:57pm On Jul 24,adelnehikhare@gmail.com and whatsapp: 08114536476 ,m,,18 days & 2 hours,465,67
Kwara1stson,https://www.nairaland.com/kwara1stson,,"September 23, 2020",8:01pm On Jul 25,,,,2 months & 6 days,907,3
genitori,https://www.nairaland.com/genitori,,"October 20, 2016",7:47am On Jul 23,,m,,20 days & 9 hours,517,2
ologuntheo,https://www.nairaland.com/ologuntheo,,"June 10, 2015",8:24pm On Jul 24,,m,Ologuntheophil2,27 days & 15 hours,121,29
Eminence1124,https://www.nairaland.com/eminence1124,OYO STATE,"October 21, 2017",7:42pm On Jul 25,"THE BEST YOU CAN EVER BE IS YOU BEING YOURSELF. NEVER IMITATE, BE REAL!",m,,7 days & 10 hours,6,
lincsnuel,https://www.nairaland.com/lincsnuel,South East,"October 24, 2013",1:51pm On Jul 24,,,,4 months & 10 days,515,8
eboy540,https://www.nairaland.com/eboy540,53 amos akindayo,"October 21, 2015",3:14pm On Jul 23,i luv dis site,m,,18 days & 20 hours,620,51
Lonergem,https://www.nairaland.com/lonergem,Oyo state,"December 08, 2015",7:44am On Jul 24,A slack hand causes poverty.,,,18 days & 17 hours,152,7
Ceede19,https://www.nairaland.com/ceede19,Nigeria,"October 17, 2013",8:24pm On Jul 25,There s a reason 4 everything.,,,27 days & 7 hours,55,2
Dzenda,https://www.nairaland.com/dzenda,"Makurdi, minna","July 16, 2020",9:26am On Nov 19,I'm a writer and a food technologist,m,,6 days & 3 hours,1,
newcentury172,https://www.nairaland.com/newcentury172,Ireland,"November 26, 2020",8:47pm On Nov 26,"Hi, i am from new century plumbing and heating company which can fix your all kinds of plumbing hetaing problem of complete bathroom kitchen problems, such as  <a href=""https://newcenturyplumbingheating.com/electric-shower-repair/ "">Shower Repair Dublin<.",,https://twitter.com/newcentury123,9 minutes & 33 seconds,1,
scilover,https://www.nairaland.com/scilover,,"June 10, 2020",4:58am On Jan 04,,,,10 hours & 47 minutes,125,5
Joker25,https://www.nairaland.com/joker25,,"November 19, 2020",8:27pm On Jul 25,,,,9 days & 12 hours,95,
emrys2955,https://www.nairaland.com/emrys2955,,"March 08, 2016",10:22am On Jun 29,,,,7 days & 1 hour,56,
joxxy01,https://www.nairaland.com/joxxy01,Somewhere in the moon,"November 20, 2014",7:51pm On Jul 24,My God Shall supply all my needs according to his riches in glory.,m,,1 month & 23 days,1354,58
jamiudarex,https://www.nairaland.com/jamiudarex,lagos,"August 19, 2018",9:26pm On Jul 25,I am not d best but am different from d rest,m,@kvng_jaydot,15 days,360,3
Freesia20,https://www.nairaland.com/freesia20,,"September 08, 2015",6:17am On Jul 12,,f,,11 days & 5 hours,11,1
bolarinwabright,https://www.nairaland.com/bolarinwabright,Osun State,"August 03, 2017",12:11pm On Jul 17,Life is a School you keep learning everyday,m,bright5782,21 hours & 28 minutes,86,61
Ssoil,https://www.nairaland.com/ssoil,,"September 10, 2019",3:32pm On Jul 25,Fun and loving ,f,,23 days & 13 hours,342,1
zealousayo,https://www.nairaland.com/zealousayo,Ibadan,"May 03, 2017",5:03pm On Jul 25,"What is hard for God to do, it does not exist!",m,dd,5 months & 9 days,906,44
kcjazzy,https://www.nairaland.com/kcjazzy,,"March 14, 2012",7:38pm On Jul 25,,,,1 month & 6 days,307,17
ogb12,https://www.nairaland.com/ogb12,"Umudike,Abia State.","June 27, 2014",9:29pm On Jul 25,Kama is inevitable,m,,2 months & 19 days,45,2
McGraw,https://www.nairaland.com/mcgraw,Lagos,"December 06, 2018",8:15am On Dec 16,Aquarius,m,,2 hours & 28 minutes,2,
frankosivue,https://www.nairaland.com/frankosivue,"Bauchi, Nigeria","April 11, 2018",7:34pm On Jul 25,GOOD,m,,1 month & 5 days,569,12
reign2013,https://www.nairaland.com/reign2013,JOS,"August 04, 2018",12:33pm On Dec 01,WISDOM TO WIN THE BATTLE OF PARENTING IN THIS 21ST CENTURY,m,@mindscope_ng,6 hours & 23 minutes,17,7
Adriana90,https://www.nairaland.com/adriana90,,"December 01, 2020",9:58pm On Dec 01,,,,19 minutes & 51 seconds,1,
gud4vvvvv,https://www.nairaland.com/gud4vvvvv,,"October 22, 2020",4:11pm On Jul 24,,,,8 days & 17 hours,71,10
Angelnath,https://www.nairaland.com/angelnath,,"July 22, 2020",6:43pm On Jul 10,Be inspired to transform,m,Angel.nath1,7 days & 18 hours,189,
Ramsey19,https://www.nairaland.com/ramsey19,,"December 10, 2015",9:40pm On Dec 28,,,,9 days & 3 hours,143,19
joejacobs10,https://www.nairaland.com/joejacobs10,Port Harcourt ,"July 24, 2017",10:39pm On Jul 25,,m,,11 days & 7 hours,58,9
stiffenu,https://www.nairaland.com/stiffenu,,"February 13, 2020",6:02pm On Sep 02,,,,2 hours & 11 minutes,24,
Guru9ja,https://www.nairaland.com/guru9ja,,"February 08, 2016",10:09am On Jul 25,,m,,1 month & 7 days,1635,61
