name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
quentin06,https://www.nairaland.com/quentin06,,"February 03, 2017",9:28pm,,,,1 month & 4 days,9867,1
Joy32,https://www.nairaland.com/joy32,,"July 27, 2022",2:10pm,,,,1 minute & 27 seconds,3,0
Walealoba,https://www.nairaland.com/walealoba,,"July 27, 2022",5:17pm,,m,,1 hour & 23 minutes,14,0
jaxxy,https://www.nairaland.com/jaxxy,,"July 31, 2009",10:25pm,Strategist,m,,1 year & 11 months,105575,1814
Civilianarmy,https://www.nairaland.com/civilianarmy,,"May 25, 2021",9:20pm,,,,1 day & 13 hours,80,1
SeaTrade,https://www.nairaland.com/seatrade,Port Harcourt.,"February 06, 2021",9:39pm,I love my mummy.,m,,2 months & 20 days,1321,35
Jeffyblaq,https://www.nairaland.com/jeffyblaq,Jupiter ,"March 26, 2020",8:30pm,Free-spirited ,m,,2 months & 17 days,1404,0
gozzyb,https://www.nairaland.com/gozzyb,,"July 14, 2022",10:43pm,"We process admission application into UK, Canada and Australia. And we also process study and work visa and provide every form of assistance for students going to the UK Call/WhatsApp: 09063575744 now to get started.",,,9 hours & 58 minutes,43,0
Splitmind,https://www.nairaland.com/splitmind,The Giant of Africa ,"November 16, 2020",8:00pm,Hardcore Buharist and Patriotic Citizen for  A. P.ositive C.hange,,,12 days & 14 hours,1841,1
Commentor,https://www.nairaland.com/commentor,,"July 10, 2019",8:47pm,,,,2 months & 16 days,7890,7
3ple9iner,https://www.nairaland.com/3ple9iner,,"June 05, 2022",10:49pm,,,,8 days & 12 hours,270,3
BadNews,https://www.nairaland.com/badnews,,"August 13, 2021",2:53pm,,,,8 days & 9 hours,1746,258
Heimdal,https://www.nairaland.com/heimdal,,"July 12, 2022",9:16pm,"No stress yourself. I no go gree, normally.",m,,20 hours & 30 minutes,57,0
sokoror,https://www.nairaland.com/sokoror,Warri,"January 01, 2016",2:34pm,,m,,2 days & 12 hours,5,0
easiest,https://www.nairaland.com/easiest,Nigeria,"January 25, 2010",10:50pm,"Web consultant that speciailzes in helping organizations use the web effectively for business, learning and marketing. Also love learning and sharing knowledge about business with others.",m,naijacruz,4 months & 4 days,433,77
MrUchenna1,https://www.nairaland.com/mruchenna1,ABUJA,"September 13, 2012",4:50pm,only the truth should differentiate us from the rest,m,,18 days & 18 hours,714,5
HRMK,https://www.nairaland.com/hrmk,,"December 26, 2018",3:22pm,,,,1 month & 8 days,4272,33
Aldol,https://www.nairaland.com/aldol,,"June 30, 2022",10:17pm,,,,5 days & 12 hours,508,0
DUNDEEMASTER,https://www.nairaland.com/dundeemaster,,"February 09, 2019",2:50pm,,m,,10 days & 4 hours,304,0
Samskid310,https://www.nairaland.com/samskid310,Toronto,"November 19, 2019",9:27pm,One naira e no gum me,m,,1 day & 11 hours,181,0
xtervaganza,https://www.nairaland.com/xtervaganza,,"September 25, 2011",7:04pm,"Si vis pacem, para bellum",m,,2 months & 17 days,8591,38
juman,https://www.nairaland.com/juman,,"January 14, 2010",10:22pm,Say Your Mind: I put my trust only on God.,m,,10 months & 23 days,27712,27
tonyashburton,https://www.nairaland.com/tonyashburton,,"July 24, 2020",7:38pm,,,,27 days & 5 hours,534,0
Obidientful,https://www.nairaland.com/obidientful,,"July 11, 2022",4:42pm,,,,18 hours & 42 minutes,56,0
Reference,https://www.nairaland.com/reference,Nigeria,"February 28, 2010",8:24pm,,m,,11 months & 27 days,19473,2
PrincessofDSS,https://www.nairaland.com/princessofdss,Dallas Texas ,"May 28, 2022",3:15pm,Only if wishes were horses ,f,(917)-310-4499,11 days & 3 hours,745,2
Badowski,https://www.nairaland.com/badowski,,"September 21, 2020",6:20pm,,,,9 days & 7 hours,49,0
SamOchuko,https://www.nairaland.com/samochuko,,"June 23, 2022",10:07pm,,,,2 days,168,0
doneback04,https://www.nairaland.com/doneback04,,"November 15, 2020",10:04pm,,,,4 days & 12 hours,283,0
KGREAT,https://www.nairaland.com/kgreat,port Harcourt,"July 21, 2006",3:27pm,I'm the tree planted by the rivers of water,m,,8 days & 7 hours,305,16
blackmantis,https://www.nairaland.com/blackmantis,,"May 28, 2013",10:49pm,,,,4 months & 9 days,1662,17
solasoulmusic,https://www.nairaland.com/solasoulmusic,,"March 02, 2015",7:47pm,Worldwide Vibe,f,@iamsolasoul,4 months & 3 days,5466,14
kkins25,https://www.nairaland.com/kkins25,earth,"September 23, 2016",7:30pm,"if thou art religious; then, i am thy NEMESIS",m,@Mr_kkins,1 month & 15 days,2350,13
ufuosman,https://www.nairaland.com/ufuosman,At ur back,"December 23, 2013",8:01pm,Everything is possible ,m,,1 month & 27 days,8130,0
kafeii123,https://www.nairaland.com/kafeii123,,"August 06, 2015",9:06pm,,,,1 month & 6 days,694,1
9gerian,https://www.nairaland.com/9gerian,,"November 17, 2015",10:38pm,,,,3 months & 24 days,2247,13
clockwisereport,https://www.nairaland.com/clockwisereport,Enugu,"June 30, 2017",9:56pm,,,,3 months & 12 days,1965,24
depure,https://www.nairaland.com/depure,lagos,"May 01, 2012",10:50pm,God is good,m,afcfestus,17 days & 1 hour,342,9
Munzy14,https://www.nairaland.com/munzy14,,"June 22, 2013",10:31pm,,m,,8 months & 9 days,26570,14
heysquare,https://www.nairaland.com/heysquare,,"October 21, 2013",8:07pm,,m,,2 months & 10 days,548,5
onome2013,https://www.nairaland.com/onome2013,,"March 05, 2015",10:30pm,,,,21 days & 12 hours,364,0
Omoslim26,https://www.nairaland.com/omoslim26,,"June 26, 2019",10:50pm,,,,2 months & 14 days,7240,0
latolz,https://www.nairaland.com/latolz,,"June 14, 2022",10:46pm,,,,1 day & 19 hours,257,0
lalalista,https://www.nairaland.com/lalalista,,"January 19, 2021",4:55pm,,,,6 days & 9 hours,208,29
uptownemmygee,https://www.nairaland.com/uptownemmygee,Yenagoa and portharcourt ,"March 15, 2020",9:35pm,Life is a journey not a destination ,m,,7 days & 17 hours,588,0
brumeikperikpe,https://www.nairaland.com/brumeikperikpe,,"September 04, 2020",10:28pm,,,,3 days & 5 hours,81,0
Jamesbiodun,https://www.nairaland.com/jamesbiodun,lagos,"January 23, 2016",5:55pm,Positive~Vibes,m,jamesbiodun13,1 month & 16 days,3267,10
Cromagnon,https://www.nairaland.com/cromagnon,,"August 31, 2016",5:53pm,,,,13 days & 16 hours,2456,3
Ppp1p,https://www.nairaland.com/ppp1p,,"May 28, 2022",7:22pm,,,,11 hours & 5 minutes,260,0
Libertymind,https://www.nairaland.com/libertymind,Nigeria.... US,"July 27, 2022",8:53pm,I pledge to nigeria my country.. to be faithful.. loyal and honest.. to serve nigeria with all my strenght .. to defend her unity. And uphold he honour and glory.. so help Me God,,,2 hours & 12 minutes,6,0
kayyk,https://www.nairaland.com/kayyk,"Lagos,Nigeria ","June 30, 2022",8:40pm,Yolo,m,,16 hours & 46 minutes,8,0
jrobbins,https://www.nairaland.com/jrobbins,,"October 25, 2018",9:18pm,,,,2 months & 17 days,301,2
sinola,https://www.nairaland.com/sinola,Lagos,"November 09, 2013",10:38pm,,m,,2 months & 10 days,1766,8
Exceed15,https://www.nairaland.com/exceed15,,"August 19, 2021",10:51pm,,,,14 days & 11 hours,1068,0
OgaDeyVex,https://www.nairaland.com/ogadeyvex,,"July 09, 2022",4:36pm,,,,1 day & 20 hours,292,37
Samfloxin,https://www.nairaland.com/samfloxin,Anambra State,"September 12, 2019",7:44pm,I LOVE GOD MORE THAN YOU,m,,1 month & 27 days,2455,2
orisa37,https://www.nairaland.com/orisa37,,"July 29, 2015",1:40pm,,,,9 months & 25 days,31126,253
dododawa1,https://www.nairaland.com/dododawa1,,"November 10, 2013",8:01pm,,,,2 months & 1 day,5649,56
FatherBona,https://www.nairaland.com/fatherbona,Somewhere safe,"June 11, 2019",10:45pm,Professional writer..............,,,24 days & 5 hours,1904,7
pyro10,https://www.nairaland.com/pyro10,Iwofe PH,"April 14, 2017",8:57pm,who we are can't be hidden for long,m,El Pyro ,11 days & 22 hours,318,1
ajekpaks,https://www.nairaland.com/ajekpaks,"even 2face go find sway to help am explain wetin im see 4 down here, You don wanna come down here!!!","March 11, 2009",8:24pm,,m,,14 days & 13 hours,1230,36
bmdmix15,https://www.nairaland.com/bmdmix15,,"May 23, 2022",10:43pm,,,,3 days & 11 hours,496,71
silibaba,https://www.nairaland.com/silibaba,nigeria,"September 16, 2011",9:36pm,Still I rise,,,2 months & 27 days,4408,63
chiarachy,https://www.nairaland.com/chiarachy,Anambra,"April 28, 2022",2:16pm,CC,f,,4 days & 22 hours,28,5
HRHQueenPhil,https://www.nairaland.com/hrhqueenphil,Okota Lagos,"February 28, 2017",2:31pm,,f,Instagram: hrhqueenEka,1 month & 11 days,5190,79
mytime24,https://www.nairaland.com/mytime24,where else,"October 29, 2014",10:48pm,,f,,6 months & 12 days,8004,23
etrange,https://www.nairaland.com/etrange,"Toronto, Canada ","December 08, 2017",9:48pm,The way I think scares me,,,2 months & 20 days,4327,5
Nutase,https://www.nairaland.com/nutase,,"September 26, 2012",6:22pm,Nuttie by nature,,,1 month & 25 days,6791,27
babadigu,https://www.nairaland.com/babadigu,abidjan(côte d'ivoire),"November 26, 2007",7:20pm,life is full of surprises!,m,,12 days & 17 hours,856,14
boss1310,https://www.nairaland.com/boss1310,,"July 26, 2011",8:39pm," If you want to know your past,look into your present conditions.If you want to know your future,look into your actions",m,,2 months & 22 days,2432,0
Popesuccess,https://www.nairaland.com/popesuccess,,"June 07, 2021",10:05pm,,,,20 days & 18 hours,399,7
McStoic,https://www.nairaland.com/mcstoic,.... Just left King Tut's kitchen... Nnoro kwa there!,"June 14, 2009",10:40pm,"Silence is first of all, a sage's most valuable marksman in the execution of words.",m,,1 month & 21 days,2241,17
FaceThem,https://www.nairaland.com/facethem,,"June 28, 2018",10:38pm,,,,2 days & 21 hours,447,37
zaza1955,https://www.nairaland.com/zaza1955,,"April 25, 2019",10:36pm,,,,1 day & 21 hours,230,202
dnawah,https://www.nairaland.com/dnawah,,"September 26, 2006",10:14pm,i fear explanations.explanatory of things explained.,m,,4 months & 10 days,3866,11
ProudlyNGN,https://www.nairaland.com/proudlyngn,Maiduguri,"October 16, 2019",10:51pm,,,,1 month & 7 days,244,7
teemac01,https://www.nairaland.com/teemac01,,"November 19, 2010",9:40pm,We Here...I Said...We Here,m,,3 months & 3 days,2853,167
TheFacelessMan,https://www.nairaland.com/thefacelessman,,"April 18, 2019",10:47pm,"Moving all the works to matin2020.com by Jan 1, 2020",,,2 months & 9 days,1921,25
immortalcrown,https://www.nairaland.com/immortalcrown,The land of my race.,"April 28, 2013",10:49pm,I preen and soar majestically.,m,Immortalcrown,1 month & 25 days,4090,59
yommitte00,https://www.nairaland.com/yommitte00,Norway,"January 15, 2009",10:26pm,,m,,1 month & 6 days,162,30
darling2222,https://www.nairaland.com/darling2222,,"January 19, 2022",10:29pm,,f,,3 days & 12 hours,915,9
Mrkumareze,https://www.nairaland.com/mrkumareze,Mars,"October 12, 2016",9:24pm,,m,,3 months & 5 days,2715,15
Totilopussylick,https://www.nairaland.com/totilopussylick,Stugart Germany.,"March 13, 2020",10:36pm,,m,,2 months & 2 days,8731,0
Cypress042,https://www.nairaland.com/cypress042,Mail me,"June 03, 2022",9:40pm,"If you enjoy Trolling you' re my fave. Feel free to quote me, i ain't toxic.   ",m,,15 days & 7 hours,2501,6
Seniorwriter,https://www.nairaland.com/seniorwriter,ONLINE WORKSPACE,"July 13, 2019",10:50pm,MONEY STOPS RUBBISH .....As a SeniorWriter i am open to consultations on all online writing deals kindly contact me via Facebook ID(SARAH ADAKAREN)      Best Seller For FANCY TRACKER DEVICES(Wristbands Wristwatches),m,Seniorwriter@AdarokarenO,3 months & 18 days,5685,6
VeryWickedMan,https://www.nairaland.com/verywickedman,,"February 09, 2022",9:47pm,,,,9 days & 17 hours,1357,35
VladimirPutiin,https://www.nairaland.com/vladimirputiin,Kremlin ,"March 17, 2022",9:58pm,,m,,18 days & 16 hours,1645,9
Melodistic,https://www.nairaland.com/melodistic,Lagos,"July 11, 2022",9:59pm,"DM for your logo, flyer Banner, Business card and Document editing WhatsApp:08157184495",m,,18 hours & 13 minutes,46,0
Bluezy13,https://www.nairaland.com/bluezy13,,"June 10, 2015",8:46pm,Sit Like A Child.,m,,4 months & 16 days,9996,0
ivolt,https://www.nairaland.com/ivolt,,"May 09, 2017",10:24pm,,,,2 months & 23 days,8291,2
Okemmuo,https://www.nairaland.com/okemmuo,Lagos,"May 13, 2011",10:04pm,08034764936,m,0+8+0+3+4+7+6+4+9+3+6,28 days & 19 hours,354,0
Ngwamankillyou,https://www.nairaland.com/ngwamankillyou,Somewhere in the moon. ,"December 14, 2018",9:19pm,,m,,16 days & 2 hours,695,0
Mhizlateefah,https://www.nairaland.com/mhizlateefah,Abuja,"December 22, 2014",9:11am,,f,,18 hours & 51 minutes,37,0
SafariHunter,https://www.nairaland.com/safarihunter,,"July 05, 2022",10:43pm,Bliss because The black man is god..,m,,1 day & 2 hours,29,1
Gkay1,https://www.nairaland.com/gkay1,"Delta state, warri","August 26, 2015",8:30pm,IT IS WELL,m,,5 hours & 52 minutes,2481,1
duduade,https://www.nairaland.com/duduade,Plato,"January 26, 2015",10:49pm,Love radiates in me,,,4 months & 13 days,6137,15
oluseyiforjesus,https://www.nairaland.com/oluseyiforjesus,Minna ,"September 17, 2013",8:36pm,wat goes around comes around ,m,@fjoluwalowo ,3 months & 18 days,4710,58
pussyahnie,https://www.nairaland.com/pussyahnie,,"June 16, 2022",8:39am,,,,1 day & 3 hours,100,1
MarveworldG,https://www.nairaland.com/marveworldg,,"December 23, 2020",9:37pm,,,,1 month & 3 days,764,6
Gbeng30,https://www.nairaland.com/gbeng30,"Osun state, Nigeria ","March 15, 2021",9:25pm,Your altitude  is the reflection of your personality ,m,@Gbengasamuel,8 days,381,0
Judolisco,https://www.nairaland.com/judolisco,Planet earth ,"December 03, 2011",8:48pm,voice ur faith not ur fear,m,,6 months & 15 days,5695,8
duketerry22,https://www.nairaland.com/duketerry22,,"December 29, 2016",7:43pm,,m,,24 days & 13 hours,119,0
MedicH,https://www.nairaland.com/medich,,"September 25, 2019",10:07pm,Have money oo hehehe,,,1 month & 21 days,3334,0
fasho01,https://www.nairaland.com/fasho01,"Lagos, Nigeria","October 09, 2012",7:06pm,Do onto others what you want done to you.,m,fasho4lyfe,4 months & 12 days,3385,8
SecretReporter,https://www.nairaland.com/secretreporter,Earth,"June 12, 2021",8:46pm,Be wise,f,,17 days & 22 hours,667,1
otokx,https://www.nairaland.com/otokx,Port Harcourt,"April 25, 2005",10:09pm,,m,,1 year & 5 months,33836,5
kingthreat,https://www.nairaland.com/kingthreat,,"June 20, 2013",6:03pm,,m,,4 months & 29 days,10203,49
Breastfeed,https://www.nairaland.com/breastfeed,,"March 04, 2020",10:37am,,,,2 days & 18 hours,904,4
SMARTMOTORS,https://www.nairaland.com/smartmotors,,"December 27, 2015",10:06pm,smarting up success,m,,11 days & 18 hours,115,0
DeepThroater,https://www.nairaland.com/deepthroater,,"July 20, 2022",2:14pm,,,,1 day & 20 hours,277,15
BeanmanX,https://www.nairaland.com/beanmanx,BEAN PLANET™,"October 28, 2021",9:13pm,,m,,4 days & 17 hours,1350,1
folake4u,https://www.nairaland.com/folake4u,Towards the Sun,"September 27, 2017",10:51pm,Pure vibes,f,,3 months & 20 days,5520,4
Mina79,https://www.nairaland.com/mina79,Abuja,"May 19, 2022",9:02pm,,f,,3 days & 8 hours,118,0
Healthrelatedjo,https://www.nairaland.com/healthrelatedjo,,"July 22, 2021",10:39pm,,,,1 month & 5 days,854,21
candidladyTemp,https://www.nairaland.com/candidladytemp,,"February 15, 2022",10:51pm,,f,,3 days & 8 hours,340,1
ALLNIGERIANSMAD,https://www.nairaland.com/allnigeriansmad,Abuja,"July 01, 2018",10:40pm,Trust but verify,m,Mmmm,1 month & 18 days,2366,11
Dian33,https://www.nairaland.com/dian33,,"October 27, 2021",10:48am,,,,58 minutes & 56 seconds,4,0
mecuries,https://www.nairaland.com/mecuries,,"August 31, 2018",4:46pm,,m,,29 days & 23 hours,153,0
InsanePsycho,https://www.nairaland.com/insanepsycho,,"February 21, 2017",1:48pm,If you must be stupid at least be stupid in private,m,,4 days & 19 hours,401,3
mvem,https://www.nairaland.com/mvem,,"November 03, 2013",10:34pm,never leave personal information on social media...This world is a small one,m,,3 months & 12 days,5616,2
Makowonda,https://www.nairaland.com/makowonda,,"June 03, 2022",6:02pm,,m,,2 days & 14 hours,222,0
ashawopikin,https://www.nairaland.com/ashawopikin,lagos,"February 26, 2017",7:50pm,,m,,2 months & 1 day,4243,11
Persephone1,https://www.nairaland.com/persephone1,,"May 05, 2022",8:28pm,,,,7 days & 19 hours,575,3
Wwwq,https://www.nairaland.com/wwwq,,"April 02, 2022",7:18pm,,,,1 day & 4 hours,986,0
Henrychino,https://www.nairaland.com/henrychino,,"September 08, 2021",10:31pm,,,,8 days & 7 hours,77,0
officialwdhtv,https://www.nairaland.com/officialwdhtv,,"May 17, 2021",10:47pm,Wetin Dey Happen TV,,,1 month & 7 days,825,367
WatchYourSix,https://www.nairaland.com/watchyoursix,,"March 24, 2022",9:39pm,,,,15 days & 13 hours,953,1
ironheart,https://www.nairaland.com/ironheart,,"September 28, 2012",10:07pm,,m,,4 months & 7 days,1891,23
hurryup123,https://www.nairaland.com/hurryup123,,"August 28, 2019",8:37pm,,m,,1 month & 21 days,629,10
godofuck231,https://www.nairaland.com/godofuck231,classified,"September 06, 2017",4:51pm,God mode,,,2 months & 8 days,8248,4
RedChiefPriest,https://www.nairaland.com/redchiefpriest,"South wakanda, wanna come? Bring lots of palmwine with kolanuts. ","December 19, 2020",7:58pm,I only believe in jesus ,,,19 days,783,8
Tokskob2008,https://www.nairaland.com/tokskob2008,Somewhere around the world.,"February 24, 2021",10:00pm,I only reply mentions when I'm bored and depressed....,,,1 month & 21 days,1335,6
Richy4,https://www.nairaland.com/richy4,Australia,"December 04, 2011",10:32pm,,m,,7 months & 25 days,9616,3
pyyxxaro,https://www.nairaland.com/pyyxxaro,,"June 07, 2012",9:22pm,,,,7 months & 4 days,12816,1
kilisi,https://www.nairaland.com/kilisi,Ibadan,"June 11, 2015",10:22pm,Life's tragedy is that we get old too soon and wise too later.,m,,3 months & 29 days,836,26
Mercury12,https://www.nairaland.com/mercury12,,"December 11, 2021",10:42pm,What are you doing here?,m,,13 days & 4 hours,817,1
Massdamm,https://www.nairaland.com/massdamm,Ilorin,"December 05, 2015",9:27pm,The tricks is to never lose hope ,m,,1 month & 4 days,867,1
Nostring,https://www.nairaland.com/nostring,,"May 12, 2021",10:19pm,,,,1 month & 11 days,724,4
Buharidgeneral,https://www.nairaland.com/buharidgeneral,,"December 12, 2019",9:34pm,,,,2 months & 21 days,1401,6
Franzinni,https://www.nairaland.com/franzinni,"Lekki,Lagos Nigeria","May 25, 2015",10:27pm,if you stand for nothing you fall for anything.,,,2 months & 14 days,6014,26
Tecnophone,https://www.nairaland.com/tecnophone,,"June 05, 2022",9:28pm,,,,4 days & 15 hours,287,2
AZControversial,https://www.nairaland.com/azcontroversial,,"September 03, 2021",8:45pm,,m,,12 days & 22 hours,364,0
Prettylima,https://www.nairaland.com/prettylima,"Abule egba,  Lagos ","April 04, 2021",4:43pm,We produce carton that suit your product ,f,@Prettymore,24 days & 13 hours,321,8
GloriousGbola,https://www.nairaland.com/gloriousgbola,,"February 26, 2022",10:00pm,. ,,,1 month & 29 days,3604,2
tuoyoojo,https://www.nairaland.com/tuoyoojo,somewhere close by,"September 19, 2011",10:46pm,Live ur life to the fullness,m,,5 months & 21 days,2865,95
Yureyes,https://www.nairaland.com/yureyes,,"February 22, 2017",8:48pm,,,,21 days & 10 hours,585,0
Antoeni,https://www.nairaland.com/antoeni,Lagos,"May 20, 2016",7:59pm,I will cast out evil doers 4rm the city of d Lord,m,,2 months & 24 days,9919,847
Cantonese,https://www.nairaland.com/cantonese,,"March 28, 2018",9:28pm,,,,2 months & 29 days,5904,100
Thatakwabombabe,https://www.nairaland.com/thatakwabombabe,,"May 03, 2022",7:37pm,,,,1 day & 11 hours,144,1
Savedday,https://www.nairaland.com/savedday,,"June 16, 2021",10:21pm,,,,23 days & 5 hours,655,1
greggng,https://www.nairaland.com/greggng,,"October 04, 2010",10:52pm,,,,11 months & 25 days,19081,950
Nchenches,https://www.nairaland.com/nchenches,,"June 30, 2019",10:49pm,,,,17 days & 11 hours,2641,2
Kobicove,https://www.nairaland.com/kobicove,Somewhere on planet Earth,"August 31, 2011",1:42pm,Opportunity dances with those who are already on the dance floor,m,,5 months & 13 days,19305,13
gassbee,https://www.nairaland.com/gassbee,,"April 19, 2018",10:10pm,,,,2 months & 18 days,1443,0
PrinceMajestic,https://www.nairaland.com/princemajestic,Tropical Rain Forest,"December 10, 2019",10:42pm,"Religion Is Terrorism, refrain from it whatever type u practice",,,2 months & 9 days,2298,5
samabiodun,https://www.nairaland.com/samabiodun,,"September 26, 2011",9:33pm,,,,12 days & 21 hours,66,12
Ghostridder419,https://www.nairaland.com/ghostridder419,,"July 27, 2022",10:14pm,,,,1 hour & 47 minutes,5,0
Jaysnowkid,https://www.nairaland.com/jaysnowkid,,"October 31, 2019",7:08pm,,,,4 days & 15 hours,175,0
Strikethem,https://www.nairaland.com/strikethem,,"January 25, 2018",5:46pm,,,,21 days & 7 hours,1783,5
DLSReigns,https://www.nairaland.com/dlsreigns,,"January 18, 2019",9:56pm,,,,20 days & 20 hours,439,0
9jaRealist,https://www.nairaland.com/9jarealist,,"December 22, 2018",2:36pm,,,,2 months & 9 days,10305,0
Batam,https://www.nairaland.com/batam,Nigeria,"August 07, 2007",4:35pm,,m,,3 months & 15 days,1726,8
johnnychuks,https://www.nairaland.com/johnnychuks,Lagos ,"August 28, 2014",8:45pm,Yahweh is greatest,m,chuksjohnsonosita,1 month & 20 days,818,0
Brushstrokes20,https://www.nairaland.com/brushstrokes20,,"June 03, 2020",10:08pm,,,,4 months & 8 days,5303,0
KelGraphicz,https://www.nairaland.com/kelgraphicz,Nigeria,"June 26, 2022",7:35pm,"I am a Creative graphic designer , message me for all your Graphic projects on WhatsApp 08145116685",m,,2 hours & 26 minutes,9,2
Kajaard,https://www.nairaland.com/kajaard,,"August 31, 2021",10:52pm,FEARLESS,,,1 month & 11 days,2104,0
Kingcalls,https://www.nairaland.com/kingcalls,,"March 09, 2021",8:45pm,,,,1 month & 22 days,6642,7
Enddy50ty,https://www.nairaland.com/enddy50ty,Lagos Nigeria ,"May 19, 2021",9:23pm,,m,,9 days & 3 hours,366,13
chuksanambra,https://www.nairaland.com/chuksanambra,,"June 11, 2017",10:52pm,,,,10 days & 9 hours,916,5
Vulcan24,https://www.nairaland.com/vulcan24,Lagos,"April 11, 2019",1:56pm,Hope Springs Eternal,m,,17 days & 18 hours,1339,13
jornwhite,https://www.nairaland.com/jornwhite,,"April 22, 2020",1:57pm,,,,20 days & 23 hours,1153,0
