name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Great100000,https://www.nairaland.com/great100000,,"June 29, 2019",9:03am,,,,1 month & 11 days,2360,327
fireback,https://www.nairaland.com/fireback,,"February 11, 2018","6:15pm On Dec 05, 2021",,,,1 month & 20 days,793,5
edoairways,https://www.nairaland.com/edoairways,,"September 28, 2019",4:47pm On Jul 25,This is my last message on this platform. Goodbye to humanity.,,,2 months & 9 days,12757,5
Solsix,https://www.nairaland.com/solsix,,"July 06, 2019",4:57pm On Mar 29,,m,,23 days & 23 hours,2266,0
Fabulouslouie,https://www.nairaland.com/fabulouslouie,Andromeda,"July 17, 2016",5:14pm On Jul 25,WhatsApp me on +2348137974321,m,@_EthanLouie,16 days & 14 hours,466,45
saddeeqrunka,https://www.nairaland.com/saddeeqrunka,Bayajidda Kingdom,"May 03, 2018",7:58am On Jun 17,Believe in yourself,m,abdallahsaddeeq,13 days & 10 hours,317,1
oghalebros,https://www.nairaland.com/oghalebros,DELTA STATE,"March 14, 2015",6:54am On Jul 25,Very easy going person,m,Oghaleblessing,5 days & 2 hours,167,0
punisha,https://www.nairaland.com/punisha,Earth.,"November 27, 2017",10:02pm On Jun 14,,,,2 months & 9 days,3524,14
Jeffy1206,https://www.nairaland.com/jeffy1206,Nigeria,"October 14, 2011",8:04pm On Jul 25,Punishment is Justice for the Unjust...(St Augustine),m,@OgbajiJeffery,3 months & 8 days,6757,131
Harry00,https://www.nairaland.com/harry00,No where Close,"February 12, 2018",8:57am,,m,,22 days & 19 hours,1321,4
Scopia,https://www.nairaland.com/scopia,,"April 04, 2021","5:46pm On Apr 05, 2021",,,,13 minutes & 10 seconds,1,0
paulemmy19,https://www.nairaland.com/paulemmy19,maraba fct ABUJA,"July 28, 2016",8:32am On Jul 24,,m,,6 days & 23 hours,826,0
blackarcher,https://www.nairaland.com/blackarcher,,"October 25, 2016",8:10am On Jun 21,,,,11 days & 1 hour,42,0
Onyenna,https://www.nairaland.com/onyenna,9ja,"April 06, 2010",1:21am,Ana m achikwanụ.........,m,,3 months & 29 days,4945,38
udemzyudex,https://www.nairaland.com/udemzyudex,Lagos. ,"January 29, 2012",2:29pm On Jul 12,I SEE HUMAN NOT HUMANITY,m,,7 months & 26 days,16842,54
jamiudarex,https://www.nairaland.com/jamiudarex,lagos,"August 19, 2018",9:57am,I am not d best but am different from d rest,m,@kvng_jaydot,15 days,360,3
jiangxomiu34,https://www.nairaland.com/jiangxomiu34,,"April 19, 2021","12:43pm On Apr 19, 2021",,,,9 seconds,1,0
Ajilenu,https://www.nairaland.com/ajilenu,,"April 12, 2021",10:30am On Jun 04,,,,2 days & 22 hours,895,0
chelsmmrs453,https://www.nairaland.com/chelsmmrs453,,"April 28, 2021","3:15pm On Apr 28, 2021",,,,1 minute & 5 seconds,1,0
vipplumpbers533,https://www.nairaland.com/vipplumpbers533,,"May 03, 2021","7:54am On May 03, 2021",,,,1 minute & 47 seconds,1,0
Xavier0980,https://www.nairaland.com/xavier0980,,"July 22, 2020",4:14pm On Jul 20,,,,5 hours & 28 minutes,107,0
garyjohnson1,https://www.nairaland.com/garyjohnson1,,"November 21, 2020",5:57pm On Jul 23,,,,5 hours & 35 minutes,121,0
NightFood,https://www.nairaland.com/nightfood,,"March 04, 2020",10:16pm On Jan 26,,,,2 days & 2 hours,704,2
archpanelmapes,https://www.nairaland.com/archpanelmapes,,"June 14, 2021","1:47am On Jun 14, 2021",,,,1 minute & 38 seconds,1,0
Meksbig,https://www.nairaland.com/meksbig,asaba,"December 12, 2013",8:22pm On Jul 23,,m,,3 months & 13 days,165,0
Kernalboy,https://www.nairaland.com/kernalboy,Your back yard.,"June 04, 2019",2:48pm On Jul 20,"going to church dosent make you a christian,",,jesus twitter,6 days & 22 hours,128,16
itzzadams,https://www.nairaland.com/itzzadams,,"September 01, 2021","6:34am On Sep 12, 2021",,,,4 minutes & 27 seconds,3,0
brnbyplumbers,https://www.nairaland.com/brnbyplumbers,,"September 06, 2021","2:00pm On Sep 06, 2021",,,,5 minutes & 17 seconds,1,0
deutschscntlgy,https://www.nairaland.com/deutschscntlgy,,"September 09, 2021","2:24pm On Sep 09, 2021",,,,1 minute & 30 seconds,1,0
jazzguitartut,https://www.nairaland.com/jazzguitartut,,"September 10, 2021","2:03pm On Sep 10, 2021",,,,3 minutes & 9 seconds,1,0
flowerdxbshop,https://www.nairaland.com/flowerdxbshop,,"September 12, 2021","12:17pm On Sep 12, 2021",,,,4 minutes & 39 seconds,1,0
rnkfrtressseo,https://www.nairaland.com/rnkfrtressseo,,"September 13, 2021","4:32pm On Sep 13, 2021",,,,3 minutes & 32 seconds,1,0
xplainervid,https://www.nairaland.com/xplainervid,,"September 14, 2021","2:49pm On Sep 14, 2021",,,,1 minute & 57 seconds,1,0
dadbodshirt,https://www.nairaland.com/dadbodshirt,,"September 15, 2021","6:36pm On Sep 15, 2021",,,,1 minute & 49 seconds,1,0
firetruckmall,https://www.nairaland.com/firetruckmall,,"September 16, 2021","4:53pm On Sep 16, 2021",,,,1 minute & 57 seconds,1,0
roachcontrol,https://www.nairaland.com/roachcontrol,,"September 17, 2021","4:04pm On Sep 17, 2021",,,,2 minutes & 48 seconds,1,0
prprtybyrs365,https://www.nairaland.com/prprtybyrs365,,"September 20, 2021","4:48am On Sep 20, 2021",,,,3 minutes & 29 seconds,1,0
housesbuy253,https://www.nairaland.com/housesbuy253,,"September 21, 2021","5:42am On Sep 21, 2021",,,,2 minutes & 6 seconds,1,0
dumpsterental,https://www.nairaland.com/dumpsterental,,"September 21, 2021","4:06pm On Sep 21, 2021",,,,4 minutes & 29 seconds,1,0
