name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
mufutau55,https://www.nairaland.com/mufutau55,,"July 02, 2012",12:17pm,,m,,11 months & 8 days,9661,13
Dieumerci,https://www.nairaland.com/dieumerci,,"May 15, 2013","8:21am On Apr 21, 2021",,m,,2 months & 23 days,572,6
spyder880,https://www.nairaland.com/spyder880,"Enugu, Nigeria. email: tigerkenn@gmail.com ","January 02, 2011",6:56am,08033350750,m,,9 months & 11 days,33042,157
abouzaid,https://www.nairaland.com/abouzaid,A nation of idiots ruled by fools,"June 14, 2010",11:45pm On May 22,Highighigi,,,2 months & 24 days,2861,97
twinskenny,https://www.nairaland.com/twinskenny,LAGOS NIGERIA,"August 13, 2008",1:04pm,http://twinstecks.com,m,,1 year & 1 month,42272,528
Slaw12,https://www.nairaland.com/slaw12,,"July 19, 2015","5:25am On Feb 03, 2019",,,,1 month & 1 day,53,3
KolaShangOne,https://www.nairaland.com/kolashangone,"ibadan, Lagos","June 07, 2013",4:19pm On Jul 27,Life is beautiful.. don't you think so too?,m,,3 months & 10 days,2980,27
abdulwastecx,https://www.nairaland.com/abdulwastecx," Abuja, Lagos","July 21, 2014",8:20am,I am a Coren registered civil/structural engineer and also a member of Nigerian society of Engineers. Here to provide you the best of Civil and building construction work using world best practice at quite an affordable rate,m,,3 months & 1 day,4013,35
segcymoor,https://www.nairaland.com/segcymoor,Lekki Lagos,"September 30, 2009",9:24am,Everyman for himself...God for us all,m,,2 months & 2 days,7048,204
Xzevian,https://www.nairaland.com/xzevian,Nigeria,"October 17, 2011",1:25am On Jul 17,What will be wil be,m,Xzevian,5 months & 13 days,3539,21
EndiaSami,https://www.nairaland.com/endiasami,,"November 02, 2014",9:16am,,,sales_sweethome,2 months & 20 days,1365,5
kopell,https://www.nairaland.com/kopell,,"December 11, 2009",3:54pm On Jul 27,,,,2 months & 5 days,1740,18
erico2k2,https://www.nairaland.com/erico2k2,London (UK),"April 17, 2007",10:40pm On Jul 27,Cool Runnings,m,,9 months & 12 days,25611,83
podosci,https://www.nairaland.com/podosci,Abuja,"October 02, 2008",9:31pm On Jul 25,"Civil Engineer focused on the design and construction of cheap affordable housing while maintaining durability and quality combining sofwares like Orion, Revit architecture,Revit Structure, autocard,linpro and tekla structural designer 2015 , 08068396895",m,"@podosci ,  @harneyprojects ",2 months & 21 days,2052,17
petikal,https://www.nairaland.com/petikal,,"September 02, 2014","6:45pm On Jul 11, 2017",ca.linkedin.com/in/pkalu/,m,,17 days & 16 hours,151,3
FastShipping,https://www.nairaland.com/fastshipping,USA,"January 03, 2014","12:44pm On Aug 10, 2019",,,,7 months & 1 day,4914,13
rotecch77,https://www.nairaland.com/rotecch77,lagos,"October 02, 2013",12:13pm,Building construction and supply  of building materials ,m,,6 months & 29 days,8919,53
darenyx,https://www.nairaland.com/darenyx,"Lagos, lekki","December 31, 2013",12:57am On Jul 27,hafux consults,m,,2 months & 17 days,1760,11
gabbytabby,https://www.nairaland.com/gabbytabby,,"July 15, 2011",12:12pm On Jul 26,,,,3 months & 17 days,2394,69
ikp120,https://www.nairaland.com/ikp120,,"June 28, 2015","9:54pm On Jan 22, 2020",,m,,3 months & 13 days,6446,15
skimanski,https://www.nairaland.com/skimanski,"Lekki, Lagos","January 16, 2013",10:39pm On Jul 12,08038390386,m,,1 month & 18 days,4913,35
NL1960,https://www.nairaland.com/nl1960,,"September 19, 2011",12:39pm,,,,8 months & 11 days,2340,5
smiley001,https://www.nairaland.com/smiley001,,"August 10, 2014",8:09am On Jul 02,wot defines wu we r is ow we rise after fallin,m,,2 months & 18 days,1795,2
Onuokwu,https://www.nairaland.com/onuokwu,,"February 24, 2012","2:19pm On Aug 31, 2021",,,,1 month & 2 days,951,19
redcurry,https://www.nairaland.com/redcurry,Abuja ,"July 06, 2014",5:24am On Jul 25,l'm just me.am simple and cool.quiet but not gentle.,f,,2 months & 9 days,292,0
semitunde,https://www.nairaland.com/semitunde,,"December 19, 2007",8:25am,,,,4 months & 26 days,1441,10
mexxy1,https://www.nairaland.com/mexxy1,"Rivers state, Nigeria","November 22, 2011",10:56am,,m,,6 months & 26 days,907,16
customised87,https://www.nairaland.com/customised87,,"June 28, 2014",5:21pm On Jan 07,,,,1 month & 24 days,686,5
Afrilogistics,https://www.nairaland.com/afrilogistics,,"August 23, 2012","8:07pm On Aug 27, 2015",,,,7 hours & 57 minutes,31,3
brabus,https://www.nairaland.com/brabus,Nigeria,"August 18, 2009","7:22pm On Aug 14, 2016",,m,,4 months & 3 days,5504,39
ckenneths,https://www.nairaland.com/ckenneths,,"July 03, 2006",4:10pm On Jul 20,,m,,13 days & 2 hours,3228,45
peaceland,https://www.nairaland.com/peaceland,,"March 13, 2008",9:47am,,m,,5 months & 14 days,499,2
BankeSmalls,https://www.nairaland.com/bankesmalls,,"July 22, 2015","10:13am On Mar 21, 2021",,f,,18 days & 4 hours,3841,31
wanaj0,https://www.nairaland.com/wanaj0,,"February 20, 2006",5:23pm On Jul 20,,,,2 months & 1 day,2083,3
nabiz,https://www.nairaland.com/nabiz,ABUJA,"January 14, 2010",9:04am On Jul 26,THE FEAR OF GOD IS THE BIGGINING OF WISDOM AND THE KNOWLEDGE OF GOD IS POWER,m,www.parkandhomecreations.org,6 months & 22 days,4351,205
Dominionng,https://www.nairaland.com/dominionng,Lagos,"June 12, 2011",5:14am On Jul 21,,m,,2 months & 4 days,1628,28
cconcept,https://www.nairaland.com/cconcept,,"November 18, 2009","12:41am On Sep 19, 2019",,,,4 months & 20 days,342,1
Empiree,https://www.nairaland.com/empiree,Medina tul Munawara,"October 19, 2010",11:20am,I am a salafi only if salafiyya signifies inviting others to adhere to the Book of God and the lifestyle of Prophet Muhammad (God bless and grant peace to him and his family) without denigrating or condemning anyone!,,And I am a salafi as long as salafiyya refers to holding to the Sacred Law with practices based on what is flexible and evolving rather than that which is rigid and narrow.,11 months & 5 days,21891,20
Bimsbims1,https://www.nairaland.com/bimsbims1,,"December 30, 2013","11:02am On Oct 15, 2015",,,,5 hours & 23 minutes,2,0
princechigzy,https://www.nairaland.com/princechigzy,Nigeria,"October 02, 2013",3:26pm On Jun 21,"Enterprenuer & a business smart fellow. A lover of construction, would want to build for you",m,@KD_Realtors,8 days & 5 hours,91,12
Miscellaneous,https://www.nairaland.com/miscellaneous,Abuja,"May 18, 2013",2:55am On Jul 15,,m,,1 month & 20 days,2074,27
TLAX,https://www.nairaland.com/tlax,,"August 24, 2015",12:06pm,,,,27 days & 10 hours,951,4
segzy14,https://www.nairaland.com/segzy14," Lagos State","March 23, 2012",5:12pm On Jan 19,"EVERYTHING IS POSSIBLE, IMPOSSIBLE IS ANYTHING",m,@sae_ltd,6 months,8336,92
Danileinado,https://www.nairaland.com/danileinado,,"June 11, 2015",10:43am On May 25,,m,,1 month & 16 days,31,1
palserltd,https://www.nairaland.com/palserltd,,"July 02, 2015","10:29am On Oct 25, 2021",Visit my forum http://www.todaynewsreview.com,,,2 days & 14 hours,228,62
lastpage,https://www.nairaland.com/lastpage,,"March 03, 2009","5:09am On Dec 08, 2021",Why are Muslim moderators trying to force their belief on others? ,,,3 months & 4 days,9586,18
OnetimeOnly,https://www.nairaland.com/onetimeonly,,"July 05, 2012","6:43am On Dec 31, 2016",,,,5 days & 20 hours,102,1
PropTrader,https://www.nairaland.com/proptrader,,"July 07, 2011","10:59pm On Nov 19, 2015",,,,2 days & 5 hours,60,1
hcsproperties,https://www.nairaland.com/hcsproperties,,"September 03, 2015","1:26pm On Sep 03, 2015",,,,1 hour & 45 minutes,4,0
Enterpreneur,https://www.nairaland.com/enterpreneur,,"August 08, 2012","10:02pm On Oct 04, 2016",,,,4 days & 14 hours,17,1
snakebeat,https://www.nairaland.com/snakebeat,,"August 01, 2014","3:19am On Jul 02, 2020",,,,1 month & 2 days,916,18
true2home,https://www.nairaland.com/true2home,,"December 30, 2011",1:14pm,,m,,1 month & 21 days,569,8
