name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online
Javanian,https://www.nairaland.com/javanian,"Dallas, Texas","April 09, 2012",1:09am On Feb 28,,,@MonsieurUbani,6 months & 24 days
clementcro,https://www.nairaland.com/clementcro,,"March 12, 2009",8:21pm On Jul 17,,m,,16 days & 19 hours
pjosh1,https://www.nairaland.com/pjosh1,Abuja,"September 23, 2012",2:47pm On Jul 23,??,m,,1 month & 10 days
PrinceNN,https://www.nairaland.com/princenn,,"May 30, 2012",9:40pm On Jan 17,,m,@princen,1 month & 25 days
ibnquasale,https://www.nairaland.com/ibnquasale,,"September 11, 2007",4:18pm,,m,,2 months & 17 days
xterra2,https://www.nairaland.com/xterra2,Nigeria,"February 01, 2009",2:54pm,R2-D2,m,,3 months & 1 day
talk2hb1,https://www.nairaland.com/talk2hb1,http://tools.sms2profit.com/,"July 24, 2007",3:57pm,@Tinkeen,m,@salamihabeeb,3 months & 21 days
lordZOUGA,https://www.nairaland.com/lordzouga,Nigeria,"July 24, 2011",1:06am On Jul 23,,m,http://twitter.com/lordzouga,2 months & 18 days
ciphoenix,https://www.nairaland.com/ciphoenix,13q14.1-q14.2,"September 11, 2012",11:37pm On Oct 02,,m,@C19H03N1X,19 days & 21 hours
madelinekim,https://www.nairaland.com/madelinekim,,"December 21, 2012",12:31pm On Jun 04,,m,,6 hours & 16 minutes
WhiZTiM,https://www.nairaland.com/whiztim,somewhere,"January 21, 2012",7:52am,:: I used to be the Subsea Systems Engineering discipline :: I am a fulltime Software Engineer... And oh... an amazing Christian (^_^),m,ionogu,3 months & 16 days
dpuzo,https://www.nairaland.com/dpuzo,PH city ,"July 04, 2011",6:34pm On Nov 05,,,@don_puzo,22 days & 21 hours
kachionubogu,https://www.nairaland.com/kachionubogu,,"December 31, 2012",11:22am On Jan 16,,,,2 hours & 11 minutes
Afam4eva,https://www.nairaland.com/afam4eva,,"June 06, 2006",11:41am On Jul 24,,m,afam4eva,1 year & 6 months
mubitechnology,https://www.nairaland.com/mubitechnology,,"January 01, 2013",9:09am On Apr 24,,,,15 days & 21 hours
Omogbhollahorn,https://www.nairaland.com/omogbhollahorn,Lasgidi state of mind,"January 05, 2010",4:13pm,,m,@Stormslim,2 months & 16 days
DAvIt0,https://www.nairaland.com/davit0,Champagne Clouds,"October 14, 2011",11:31am On Jun 24," ",m,,1 month & 6 days
mj,https://www.nairaland.com/mj,"Lagos, Nigeria.","February 28, 2006",12:13am On May 19,,m,MikeOshadami,2 months & 26 days
NEROSKY,https://www.nairaland.com/nerosky,Nigeria,"December 29, 2011",10:13am,,m,,1 month & 23 days
Maxkdave,https://www.nairaland.com/maxkdave,C:/sys/bin/apps/maxkdave,"October 18, 2011",10:12am On Jun 14,"Everything (adminship,fame,money,pride,etc) all ENDS HERE ON EARTH, you cant take it to HEAVEN.",m,Maxkdave,2 days & 13 hours
dont8,https://www.nairaland.com/dont8,"Lagos, Nigeria","February 20, 2008",11:52am,"Dont hate, one love keep us together.",m,,7 months & 5 days
Urine,https://www.nairaland.com/urine,,"March 31, 2010",11:10am On Aug 28,,,,3 months & 22 days
fe32,https://www.nairaland.com/fe32,,"August 13, 2008",10:38am On Dec 12,,m,,21 days & 11 hours
manny4life,https://www.nairaland.com/manny4life,Washington DC,"December 03, 2008",9:20pm On Mar 14,B787 Cockpit; lovely aircraft.,m,,6 months & 8 days
confusion247,https://www.nairaland.com/confusion247,Next door in your neighborhood,"August 23, 2012",10:27am On May 15,"I am always controversial and people get confused, why? May be i confusion have entered their brain.",m,@confusion247.,21 days & 15 hours
ayurdavid,https://www.nairaland.com/ayurdavid,,"January 29, 2008",12:40pm On Jun 05,,,,23 days & 23 hours
plote,https://www.nairaland.com/plote,,"September 10, 2010",9:59pm On Sep 29,,,,20 hours & 7 minutes
WebSolutnX,https://www.nairaland.com/websolutnx,Nigeria,"April 28, 2010",10:52pm On Oct 09,Creative Web Solution For Your Business,m,http://twitter.com/websolutionx,1 day & 12 hours
wascolee,https://www.nairaland.com/wascolee,,"November 06, 2012",5:47pm On Feb 27,....live life for what 2maro has to offer and not for what yesterday has taken away........,m,,1 month & 4 days
sdbaba,https://www.nairaland.com/sdbaba,,"September 09, 2008",3:13am,,,,1 month & 12 days
adewasco2k,https://www.nairaland.com/adewasco2k,"Abuja, Nigeria","October 30, 2007",4:07am On Jul 18,This is my personal text,m,,4 months & 3 days
double08,https://www.nairaland.com/double08,world wide web ,"July 01, 2010",4:45pm On Jul 10,Semper Fi,m,,1 month & 9 days
hemor,https://www.nairaland.com/hemor,,"October 13, 2012",3:17am On Jan 31,,m,@emmy_rald,10 days & 21 hours
Mayowura,https://www.nairaland.com/mayowura,abuja,"August 09, 2011",9:04am On Dec 11,"In All You Do, Fear God And Depart From Evil.!",,mayowura,38 minutes & 35 seconds
eyenCalabar,https://www.nairaland.com/eyencalabar,,"March 29, 2012",10:14am On Jul 12,"""The greatest asset of a man is his mentality"".",m,,28 days & 2 hours
drvirus1,https://www.nairaland.com/drvirus1,Brazil,"November 18, 2008",6:47pm On Jun 25,Hack it All,m,,6 days & 3 hours
secreyor,https://www.nairaland.com/secreyor,,"December 05, 2008",12:43am On Jan 26,,,,4 days
hopefullman,https://www.nairaland.com/hopefullman,,"December 12, 2012",10:20am On Dec 30,,,,10 days
Paulipopor,https://www.nairaland.com/paulipopor,,"August 11, 2012",11:51pm On Mar 11,,,,1 month & 18 days
Nsonaso,https://www.nairaland.com/nsonaso,Nigeria,"May 28, 2009",3:45pm,Rock & Roll is My Life... Country Music is My Passion,m,nsonaso,5 months & 2 days
Lildav,https://www.nairaland.com/lildav,,"September 01, 2009",1:09pm On Jan 16,,,,1 month & 15 days
Stundey,https://www.nairaland.com/stundey,Ibadan,"December 21, 2012",1:12pm,A student architect,m,http://twitter.com/stundeyblog,1 month & 23 days
lat4real,https://www.nairaland.com/lat4real,,"October 24, 2011",5:15pm On May 03,,,,2 months & 14 days
eniseyin,https://www.nairaland.com/eniseyin,Abk,"May 16, 2010",9:33pm On Aug 10,I God i trust,m,ennyjd,8 hours & 31 minutes
lancey,https://www.nairaland.com/lancey,right there beside you,"September 14, 2012",6:23pm On Jun 11,,m,@W_A_N_D_E,10 days & 20 hours
krap,https://www.nairaland.com/krap,"6° 27′ 11″ N, 3° 23′ 45″ E","January 05, 2007",8:56pm On Dec 18,karakputum,m,,1 month & 12 days
ghettodreamz,https://www.nairaland.com/ghettodreamz,Eldorado,"July 16, 2012",9:06am On Apr 01,,m,,3 months & 1 day
Zet72,https://www.nairaland.com/zet72,beside that burial grand,"October 15, 2012",10:52pm On Mar 02," NEVER MIND....",m,@ tonto,25 days & 6 hours
HARDDON,https://www.nairaland.com/harddon,,"July 26, 2007",9:34pm On Jul 24,Everything flourishes sweatlessly in it's true place: for birds? The skies. Animals? The forest. Fishes? The sea. Human? Our true source is in God almighty! Jesus Loves You,,,7 months & 9 days
scofield33,https://www.nairaland.com/scofield33,lagos,"September 11, 2010",9:10pm On Mar 26,,m,,17 days & 5 hours
nonybrighto,https://www.nairaland.com/nonybrighto,,"January 08, 2013",11:56am On Aug 08,,,,1 hour & 5 minutes
oluagness,https://www.nairaland.com/oluagness,Nigeria,"July 27, 2009",10:22am On Jun 22,Common sence ought to common but not everybody has it.,m,,18 days & 19 hours
