name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online
cutesier,https://www.nairaland.com/cutesier,,"November 03, 2020",4:54pm,,,,1 day & 5 hours
RealLordZeus,https://www.nairaland.com/reallordzeus,,"January 24, 2016",5:14pm,Every man soul is immortal but the soul of the righteous is immortal and divine ,m,,5 months & 11 days
Herkim,https://www.nairaland.com/herkim,MUSHIN,"April 02, 2009",7:47am,,m,,2 months & 1 day
tubolancer,https://www.nairaland.com/tubolancer,Lagos,"July 29, 2008",3:55pm,,m,Isola@twitter.com,5 months & 4 days
nifemi25,https://www.nairaland.com/nifemi25,lagos 08065805412,"November 30, 2012",4:30pm,Ask me anything aπϑ am gonna answer,m,#ayandejinifemi,2 months & 8 days
IyaTola,https://www.nairaland.com/iyatola,,"November 26, 2019",12:42am On Jul 24,,,,6 days & 14 hours
Zanzibar1,https://www.nairaland.com/zanzibar1,,"March 07, 2021",5:13pm,,,,1 day & 21 hours
sageb,https://www.nairaland.com/sageb,,"October 24, 2014",4:21pm,i am a luminar,,,6 months & 28 days
jesmond3945,https://www.nairaland.com/jesmond3945,,"July 23, 2018",5:14pm,,,,5 months & 5 days
Titilayo4life,https://www.nairaland.com/titilayo4life,,"October 13, 2020",8:56am,,,,11 hours & 7 minutes
Ay04z,https://www.nairaland.com/ay04z,"convenant ota ogun state, BVN printout FOR LOAN AND EMBASSY ","December 01, 2013",3:04pm,Eager to always lear,m,,2 months & 10 days
eventainment,https://www.nairaland.com/eventainment,,"March 10, 2021",4:42pm,,m,,12 days & 1 hour
Doyou2019,https://www.nairaland.com/doyou2019,,"July 14, 2019",4:21pm,,,,1 month & 9 days
immortalmortal,https://www.nairaland.com/immortalmortal,,"March 27, 2022",4:07pm,,,,4 days & 6 hours
Revolution2022,https://www.nairaland.com/revolution2022,,"January 01, 2022",7:04am On Jul 24,,m,,17 days & 22 hours
galantjoe,https://www.nairaland.com/galantjoe,,"August 06, 2013",5:14pm,Ofo na ogu kamji aga,m,,2 months & 12 days
obyrich,https://www.nairaland.com/obyrich,,"October 01, 2012",4:54pm,If not God.,m,,10 months & 21 days
Kola5281,https://www.nairaland.com/kola5281,Ain't Stable,"April 14, 2017",12:17pm,,m,,14 days & 2 hours
zyphr,https://www.nairaland.com/zyphr,Utopia,"June 12, 2013",2:25pm,"Love me at my worst, thats when i need it. Allergic to liars and cheats.... For business only, you can reach me via calls/WhatsApp on 08061589020 ",m,,2 months & 3 days
louiskay,https://www.nairaland.com/louiskay,$ island,"July 17, 2014",4:40pm,I must tour the World.,m,@@@@@@@@@@,5 months & 8 days
Rrchrd,https://www.nairaland.com/rrchrd,PH,"July 28, 2019",3:07pm,,m,,20 days & 23 hours
BalticGold,https://www.nairaland.com/balticgold,,"February 06, 2022",4:13pm,,,,8 days & 10 hours
